id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_other mov_flying mov_swimming log_mass
0 0 1 0 1 0 0 0 -4.462180904926726
1 0 1 0 1 0 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -3.9766034855222485
3 0 1 0 1 0 0 0 -2.7396700213137537
4 0 1 0 1 0 0 0 -2.197053890595728
5 0 1 0 1 0 0 0 -2.400167343930574
6 0 1 0 1 0 0 0 -1.6037992401413794
7 0 1 0 1 0 0 0 -0.38972276814299867
8 0 1 0 1 0 0 0 -1.1611012703521437
9 1 0 0 0 0 1 0 2.322219294733919
10 0 0 1 1 0 0 0 1.0
11 1 0 0 0 0 1 0 1.1139433523068367
12 1 0 0 1 0 0 0 3.6989700043360187
13 0 1 0 1 0 0 0 -3.0636647369462726
14 0 1 0 1 0 0 0 -1.9632942317384154
15 0 1 0 1 0 0 0 -2.2494171720647995
16 0 1 0 1 0 0 0 -3.309044126483511
17 0 1 0 1 0 0 0 -2.764975829343016
18 0 1 0 1 0 0 0 -2.242436739292727
19 0 1 0 1 0 0 0 -3.1329528674278295
20 0 1 0 1 0 0 0 -2.911103763905207
21 0 1 0 1 0 0 0 -2.6383342914192562
22 0 1 0 1 0 0 0 -2.63143681688275
23 0 1 0 1 0 0 0 -2.0022122753195752
24 0 1 0 1 0 0 0 -1.8910618260131176
25 0 1 0 1 0 0 0 -2.13732233798529
26 0 1 0 1 0 0 0 -2.4009069052646987
27 0 1 0 1 0 0 0 -3.6100741221474917
28 0 1 0 1 0 0 0 -1.8541990181196957
29 0 0 1 1 0 0 0 1.3010299956639813
30 0 1 0 0 0 1 0 -0.6186024885899138
31 0 1 0 0 0 1 0 -1.7428321773266167
32 0 1 0 0 0 1 0 -1.7042178510803399
33 0 1 0 0 0 1 0 -0.6310194603106326
34 0 0 1 1 0 0 0 0.3010299956639812
35 0 1 0 0 0 1 0 -0.5009088688861186
36 0 1 0 0 0 1 0 -0.5009088688861186
37 0 1 0 0 0 1 0 -0.6112145544937153
38 0 1 0 0 0 1 0 -1.5049867837474311
39 0 1 0 0 0 1 0 -1.86753480585446
40 0 0 1 1 0 0 0 1.6020599913279625
41 0 0 1 1 0 0 0 2.0
42 0 1 0 1 0 0 0 -2.81201029702784
43 0 1 0 1 0 0 0 -3.6695578157915905
44 0 1 0 1 0 0 0 -2.54384144518608
45 0 1 0 0 0 1 0 -3.5754842391124795
46 0 1 0 1 0 0 0 -3.8093574022514933
47 0 1 0 1 0 0 0 -2.656103812699486
48 0 1 0 1 0 0 0 -3.1605747499543293
49 0 1 0 1 0 0 0 -2.5768093587225516
50 0 1 0 1 0 0 0 -2.1415351708226775
51 0 1 0 1 0 0 0 -3.1605747499543293
52 0 1 0 1 0 0 0 -3.7089376617689367
53 0 1 0 1 0 0 0 -3.254779166306533
54 0 1 0 1 0 0 0 -3.1094225068749637
55 0 1 0 1 0 0 0 -3.2087515882205473
56 0 1 0 0 0 1 0 -3.9734258818496655
57 0 1 0 1 0 0 0 -2.275132295472748
58 0 1 0 1 0 0 0 -2.436036764236854
59 0 1 0 0 0 1 0 -3.6723938436052093
60 0 1 0 1 0 0 0 -3.1605747499543293
61 0 1 0 1 0 0 0 -1.7088571767952812
62 0 1 0 1 0 0 0 -1.7776576513060944
63 0 1 0 1 0 0 0 -1.8064663274948358
64 0 1 0 1 0 0 0 -1.683453516187262
65 0 1 0 1 0 0 0 -1.4162818008088345
66 0 1 0 1 0 0 0 -2.762634741282292
67 0 1 0 0 0 0 1 -3.309044126483511
68 0 1 0 1 0 0 0 -1.9818052245923947
69 0 1 0 1 0 0 0 -3.525872644229758
70 0 1 0 1 0 0 0 -0.9101547758961254
71 0 1 0 1 0 0 0 -2.453004647806732
72 0 1 0 1 0 0 0 -1.3093164277948817
73 0 1 0 1 0 0 0 -1.5122147672240878
74 0 1 0 1 0 0 0 -2.059615812970337
75 0 1 0 0 0 1 1 -2.9406625465425624
76 0 1 0 1 0 0 0 -2.410630105216664
77 0 1 0 0 0 0 1 -0.5698414104857321
78 0 1 0 1 0 0 0 -2.911103763905207
79 0 1 0 0 0 1 0 -3.710973229488501
80 0 1 0 0 0 1 0 -2.518579588450343
81 0 1 0 1 0 0 0 -1.83897255822981
82 0 1 0 1 0 0 0 -3.402512140465858
83 0 1 0 1 0 0 0 -2.571630782640878
84 0 1 0 1 0 0 0 -2.2656816002475493
85 0 1 0 1 0 0 0 -3.1082368124701385
86 0 1 0 1 0 0 0 -2.084122703413275
87 0 1 0 0 0 1 0 -3.2744542434484982
88 0 1 0 1 0 0 0 -2.362100585857151
89 0 1 0 1 0 0 0 -2.1026274028638925
90 0 1 0 1 0 0 0 -4.530177984021837
91 0 1 0 1 0 0 0 -2.522122139910977
92 0 1 0 0 0 1 0 -2.084122703413275
93 0 1 0 1 0 0 0 -3.1605747499543293
94 0 1 0 0 0 1 0 -2.8046323382542186
95 0 1 0 0 0 1 0 -2.9222717253371355
96 0 1 0 0 0 1 0 -2.90990355867231
97 0 1 0 0 0 1 0 -3.429356670309371
98 0 1 0 0 1 0 0 -3.3343927457470324
99 0 1 0 0 0 1 0 -3.3575087699846824
100 0 1 0 1 0 0 0 -2.4163492507542363
101 0 1 0 0 0 1 0 -2.0678946285982973
102 0 1 0 0 0 1 0 -2.4963031292367157
103 0 1 0 1 0 0 0 -1.9473160211893847
104 0 1 0 0 1 0 0 -2.2744544068547365
105 0 1 0 1 0 0 0 -3.2087515882205473
106 0 1 0 1 0 0 0 -1.0335947093707518
107 0 1 0 1 0 0 0 -0.4560780098644304
108 0 1 0 1 0 0 0 -3.309044126483511
109 1 0 0 1 0 0 0 1.5440680443502757
110 0 1 0 0 0 1 0 -2.788732849007352
111 0 1 0 0 0 1 0 -2.788732849007352
112 0 1 0 0 0 1 0 -2.6723944563783433
113 0 1 0 1 1 0 0 -1.0713430347746509
114 0 1 0 0 0 1 0 -2.8765142347764607
115 0 1 0 1 0 0 0 -0.4112072518459506
116 0 1 0 1 0 0 0 -2.269604563959403
117 0 1 0 1 0 0 0 -0.4560780098644305
118 0 1 0 1 0 0 0 -3.6100741221474917
119 0 1 0 1 0 0 0 -4.530177984021837
120 0 1 0 0 0 1 0 -4.1778319206319825
121 0 1 0 0 0 1 0 -1.8430906608520017
122 0 1 0 0 0 1 0 -3.7830928658844196
123 0 1 0 1 0 0 0 -1.551329398807419
124 0 1 0 0 0 1 0 -1.9033865550131877
125 0 1 0 1 0 0 0 -4.530177984021837
126 0 1 0 1 0 0 0 -0.6915594452513543
127 0 1 0 0 0 1 0 -3.8765142347764607
128 0 1 0 1 0 0 0 -1.4264889231338105
129 0 1 0 1 0 0 0 -1.2581586337851094
