id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3712032290698377 0
2 1 0 0 0 0 1 0 0 0 -2.4751695410084738 0
3 1 0 0 0 0 1 0 0 0 -2.3315745699014996 0
4 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
5 1 0 0 0 0 1 0 0 0 -3.3305194761167414 0
6 1 0 0 0 0 1 0 0 0 -3.8040146036420306 0
7 1 0 0 0 0 1 0 0 0 -3.690248502536241 0
8 1 0 0 0 0 1 0 0 0 -3.2591724694538073 0
9 1 0 0 0 0 1 0 0 0 -1.6089123340363536 0
10 1 0 0 0 0 1 0 0 0 -0.7330771819136819 0
11 1 0 0 0 0 1 0 0 0 -2.155065471614301 0
12 1 0 0 0 0 1 0 0 0 -2.1729355509326016 0
13 1 0 0 0 0 1 0 0 0 -2.0389074327315884 0
14 1 0 0 0 0 1 0 0 0 -1.9183594083992683 0
15 1 0 0 0 0 1 0 0 0 -1.6440843183502958 0
16 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
17 1 0 0 0 0 1 0 0 0 -1.8328695998238638 0
18 1 0 0 0 0 1 0 0 0 -1.5127857215733602 0
19 1 0 0 0 0 1 0 0 0 -0.8502909654397324 0
20 1 0 0 0 0 1 0 0 0 -2.291458092196252 0
21 1 0 0 0 0 1 0 0 0 -2.0242187824743296 0
22 1 0 0 0 0 1 0 0 0 -2.874855890668581 0
23 1 0 0 0 0 1 0 0 0 -2.6397128208710527 0
24 1 0 0 0 0 1 0 0 0 -2.314799900075324 0
25 1 0 0 0 0 1 0 0 0 -2.7924520693142263 0
26 1 0 0 0 0 1 0 0 0 -2.304265613143428 0
27 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
28 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
29 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
30 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
31 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
32 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
33 1 0 0 0 0 1 0 0 0 -2.1296586095309973 0
34 1 0 0 0 0 1 0 0 0 -2.497839137701057 0
35 1 0 0 0 0 1 0 0 0 -3.4559480868872057 0
36 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
37 1 0 0 0 0 1 0 0 0 -3.3269772487370917 0
38 1 0 0 0 0 1 0 0 0 -2.9759504876666605 0
39 1 0 0 0 0 1 0 0 0 -3.205602586043845 0
40 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
41 1 0 0 0 0 1 0 0 0 -2.9369873190377906 0
42 1 0 0 0 0 1 0 0 0 -2.9351307489774587 0
43 1 0 0 0 0 1 0 0 0 -1.495873746515867 0
44 1 0 0 0 0 1 0 0 0 -4.603800652904264 0
45 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
46 1 0 0 0 0 1 0 0 0 -2.2732294451695667 0
47 1 0 0 0 0 1 0 0 0 -4.447331783887806 0
48 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
49 1 0 0 0 0 1 0 0 0 -1.097650469954709 0
50 1 0 0 0 0 1 0 0 0 -2.659836184774452 0
51 1 0 0 0 0 1 0 0 0 -2.813708321529019 0
52 1 0 0 0 0 1 0 0 0 -1.8456359861839249 0
53 1 0 0 0 0 1 0 0 0 -2.2151810105179957 0
54 1 0 0 0 0 1 0 0 0 -2.5010830982559042 0
55 1 0 0 0 0 1 0 0 0 -5.292429823902063 0
56 1 0 0 0 0 1 0 0 0 -3.9519429388580893 0
57 1 0 0 0 0 1 0 0 0 -3.75907402741743 0
58 1 0 0 0 0 1 0 0 0 -4.568636235841013 0
59 1 0 0 0 0 1 0 0 0 -5.189767482004916 0
60 1 0 0 0 0 1 0 0 0 -4.016824927962187 0
61 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
62 1 0 0 0 0 1 0 0 0 -5.147520006363144 0
63 1 0 0 0 0 1 0 0 0 -4.215382707367125 0
64 1 0 0 0 0 1 0 0 0 -2.398241296378829 0
65 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
66 1 0 0 0 0 1 0 0 0 -1.529034572502839 0
67 1 0 0 0 0 1 0 0 0 -1.036860123709748 1
68 1 0 0 0 0 1 0 0 0 -5.006563769502388 0
69 1 0 0 0 0 1 0 0 0 -4.074172425375258 0
70 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
71 1 0 0 0 0 1 0 0 0 -4.801342913045577 0
72 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
73 1 0 0 0 0 1 0 0 0 -6.133122185662501 0
74 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
75 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
76 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
77 1 0 0 0 0 1 0 0 0 -0.8709226757472632 0
78 1 0 0 0 0 1 0 0 0 -1.9932327089516508 0
79 1 0 0 0 0 1 0 0 0 -4.777283528852417 0
80 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
81 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
82 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
83 1 0 0 0 0 1 0 0 0 -0.583047036194601 0
84 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
85 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
86 1 0 0 0 0 1 0 0 0 -0.9030482932487593 0
