id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -9.621602099051863 0
1 0 0 1 0 1 0 0 -4.841637507904751 0
2 0 0 1 0 1 0 0 -5.2373214362725635 0
3 0 0 0 1 0 0 1 -9.290730039024169 0
4 1 0 0 0 1 0 0 1.9030899869919435 0
5 1 0 0 0 1 0 0 -1.795880017344075 0
6 0 0 1 0 1 0 0 -5.809668301829708 0
7 0 0 1 0 1 0 0 -5.0 0
8 1 0 0 0 1 0 0 0.8450980400142568 0
9 0 0 1 0 1 0 0 -5.164309428507575 0
10 0 0 0 1 0 0 1 -8.012780770091995 0
11 0 0 1 0 1 0 0 -5.73754891026957 0
12 0 0 1 0 1 0 0 -4.396855627379818 0
13 0 0 1 0 1 0 0 -7.698970004336019 0
14 0 0 1 0 1 0 0 -8.0 0
15 0 0 1 0 1 0 0 -5.723538195826756 0
16 0 0 1 0 1 0 0 -8.0 0
17 0 0 1 0 1 0 0 -6.068033885271827 0
18 0 0 1 0 1 0 0 -4.863279432843593 0
19 0 0 1 0 1 0 0 -5.910094888560602 0
20 0 0 1 0 1 0 0 -2.7417564900754847 0
21 0 0 0 1 0 0 1 -10.323306390375134 0
22 0 0 0 1 0 0 1 -10.323306390375134 0
23 0 0 0 1 0 0 1 -8.906578314837764 0
24 0 0 0 1 0 0 1 -9.978810700930062 0
25 0 0 0 1 0 0 1 -8.247951552180561 0
26 0 0 0 1 0 0 1 -9.328827157284916 0
27 0 0 0 1 0 0 1 -9.899629454882437 0
28 0 0 0 1 0 0 1 -7.064996848546345 0
29 0 0 0 1 1 0 0 -7.251811972993799 0
30 0 0 0 1 1 0 0 -7.251811972993799 0
31 0 0 0 1 0 0 1 -7.511449283499556 0
32 0 0 0 1 0 0 1 -9.79317412396815 0
33 0 0 0 1 0 0 1 -8.954677021213342 0
34 0 0 0 1 0 0 1 -9.153662887870194 0
35 0 0 0 1 0 0 1 -7.590066876668706 0
36 0 1 0 0 0 1 0 -11.45717457304082 1
37 1 0 0 0 1 0 0 2.716003343634799 0
38 1 0 0 0 1 0 0 1.655138434811382 0
39 1 0 0 0 0 0 1 -1.6968039425795112 0
40 0 0 0 1 1 0 0 -11.45717457304082 0
