id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_walking mov_sessile mov_flying mov_other log_mass mass_missing
0 1 0 0 0 0 1 0 2.708420900134713 0
1 1 0 0 0 0 1 0 2.9777236052888476 0
2 1 0 0 0 0 1 0 2.88280904139244 0
3 1 0 0 1 0 0 0 3.5185139398778875 0
4 1 0 0 1 0 0 0 1.5563025007672873 0
5 1 0 0 0 0 1 0 3.2988530764097064 0
6 1 0 0 1 0 0 0 4.096910013008056 0
7 1 0 0 1 0 0 0 1.8260748027008264 0
8 1 0 0 0 0 1 0 2.4742162640762553 0
9 1 0 0 1 0 0 0 3.6989700043360187 0
10 1 0 0 1 0 0 0 5.3692158574101425 0
11 1 0 0 1 0 0 0 5.273001272063738 0
12 1 0 0 1 0 0 0 5.0 0
13 0 0 1 0 0 0 1 -2.6989700043360187 0
14 1 0 0 0 0 1 0 1.367011764009409 0
15 1 0 0 0 0 1 0 1.7214533634551108 0
16 0 1 0 0 1 0 0 -2.6989700043360187 1
17 1 0 0 1 0 0 0 1.6766936096248666 0
18 0 1 0 0 1 0 0 -2.6989700043360187 1
19 1 0 0 0 0 1 0 3.03009349218267 0
20 0 1 0 0 1 0 0 -2.6989700043360187 1
21 0 1 0 0 1 0 0 -2.6989700043360187 1
22 0 1 0 0 1 0 0 -2.6989700043360187 1
