id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.590066876668706 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -4.841637507904751 0
3 0 0 1 0 1 0 0 -4.166215625343521 0
4 0 0 1 0 1 0 0 -5.809668301829708 0
5 0 0 1 0 1 0 0 -5.0 0
6 0 0 1 0 1 0 0 -5.0 0
7 0 0 1 0 1 0 0 -5.164309428507575 0
8 1 0 0 0 1 0 0 -1.795880017344075 0
9 0 0 1 0 1 0 0 -4.493494967595128 0
10 0 0 0 1 0 0 1 -10.323306390375134 0
11 0 0 1 0 1 0 0 -4.396855627379818 0
12 0 0 1 0 1 0 0 -7.698970004336019 0
13 0 0 1 0 1 0 0 -7.698970004336019 0
14 0 0 1 0 1 0 0 -8.0 0
15 0 0 1 0 1 0 0 -5.863279432843593 0
16 0 0 1 0 1 0 0 -4.863279432843593 0
17 0 0 1 0 1 0 0 -2.7417564900754847 0
18 0 0 0 1 0 0 1 -8.247951552180561 0
19 0 0 0 1 1 0 0 -7.251811972993799 0
20 0 1 0 0 0 1 0 -11.45717457304082 1
21 1 0 0 0 0 0 1 -1.6968039425795112 0
22 1 0 0 0 1 0 0 2.7259116322950483 0
23 0 0 0 1 1 0 0 -11.45717457304082 0
