id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_detritus met_heterotrophic_fungi met_ectotherm_vertebrate mov_walking mov_sessile mov_other mov_other_nonliving mov_swimming log_mass mass_missing
0 0 1 0 0 0 0 0 1 0 0 0 -9.85078088734462 0
1 1 0 0 0 0 0 1 0 0 0 0 -3.891418064817546 0
2 1 0 0 0 0 0 1 0 0 0 0 -4.0385789059335515 0
3 1 0 0 0 0 0 1 0 0 0 0 -4.6777807052660805 0
4 1 0 0 0 0 0 1 0 0 0 0 -4.368556230986828 0
5 1 0 0 0 0 0 1 0 0 0 0 -4.549750891680639 0
6 1 0 0 0 0 0 1 0 0 0 0 -5.492144128304169 0
7 1 0 0 0 0 0 1 0 0 0 0 -2.945449758005534 0
8 1 0 0 0 0 0 0 1 0 0 0 -3.054789507765634 0
9 0 1 0 0 0 0 0 1 0 0 0 -10.139063379299905 0
10 0 1 0 0 0 0 0 1 0 0 0 -10.59176003468815 0
11 0 1 0 0 0 0 0 1 0 0 0 -11.032920265855504 0
12 0 0 1 0 0 0 0 0 1 0 0 -11.032920265855504 1
13 0 0 0 1 0 0 0 0 0 1 0 -11.032920265855504 1
14 0 1 0 0 0 0 0 1 0 0 0 -9.278189384787453 0
15 0 1 0 0 0 0 0 1 0 0 0 -8.939302159646388 0
16 1 0 0 0 0 0 1 0 0 0 0 -3.5233494859996863 0
17 0 0 0 0 0 1 0 0 0 0 1 1.1205291597173144 0
18 0 1 0 0 0 0 0 1 0 0 0 -9.742321425130816 0
19 0 1 0 0 0 0 0 1 0 0 0 -8.560667306169737 0
20 0 0 0 1 0 0 0 0 0 1 0 -11.032920265855504 1
21 0 1 0 0 0 0 0 1 0 0 0 -9.79317412396815 0
22 0 0 0 0 1 0 0 1 0 0 0 -11.032920265855504 1
23 0 1 0 0 0 0 0 1 0 0 0 -9.995678626217357 0
24 0 1 0 0 0 0 0 1 0 0 0 -9.876148359032914 0
25 0 1 0 0 0 0 0 1 0 0 0 -10.169411331314855 0
26 0 1 0 0 0 0 0 1 0 0 0 -11.0301183562535 0
27 0 1 0 0 0 0 0 1 0 0 0 -11.032920265855504 1
28 0 1 0 0 0 0 0 1 0 0 0 -9.027797161620935 0
29 0 1 0 0 0 0 0 1 0 0 0 -9.244125144327509 0
30 0 1 0 0 0 0 0 1 0 0 0 -9.657577319177793 0
31 0 1 0 0 0 0 0 1 0 0 0 -10.259637310505756 0
32 0 1 0 0 0 0 0 1 0 0 0 -10.749579997691106 0
33 0 1 0 0 0 0 0 1 0 0 0 -10.197910742118268 0
34 0 1 0 0 0 0 0 1 0 0 0 -9.801342913045577 0
35 0 1 0 0 0 0 0 1 0 0 0 -8.306273051076353 0
36 0 0 0 1 0 0 0 0 0 1 0 -11.032920265855504 1
