id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_sessile mov_walking mov_other log_mass
0 0 1 0 0 0 1 0 -0.744727494896694
1 1 0 0 1 0 0 0 -0.3372421683184258
2 1 0 0 1 0 0 0 -0.26760624017703155
3 1 0 0 1 0 0 0 -0.0021769192542746923
4 1 0 0 1 0 0 0 -0.1549019599857432
5 0 1 0 0 1 0 0 -0.6575773191777937
6 0 1 0 0 0 1 0 0.967547976218862
7 0 1 0 0 1 0 0 1.9590413923210936
8 0 1 0 0 0 1 0 -0.638272163982407
9 0 0 1 0 1 0 0 -3.642065152999546
10 0 1 0 0 0 1 0 -1.5228787452803374
11 0 1 0 0 0 1 0 -0.6989700043360187
12 0 1 0 1 0 0 0 -2.6382721639824074
13 0 1 0 0 0 1 0 -0.619788758288394
14 0 1 0 1 0 0 0 -1.9999999999999998
15 0 1 0 0 0 1 0 -0.744727494896694
16 0 1 0 0 0 1 0 -1.0457574905606752
17 0 1 0 0 0 1 0 -0.7958800173440752
18 0 1 0 0 0 1 0 -0.9999999999999999
19 0 1 0 0 0 1 0 -2.3565473235138126
20 0 1 0 1 0 0 0 -0.2596373105057561
21 0 1 0 1 0 0 0 -0.6777807052660807
22 0 1 0 0 0 1 0 -2.8239087409443187
23 0 1 0 0 0 1 0 -0.6989700043360187
24 0 1 0 0 0 1 0 -1.0555173278498313
25 0 1 0 0 0 1 0 -2.5086383061657274
26 0 1 0 0 0 1 0 -1.3979400086720375
27 0 1 0 0 0 1 0 -2.0
28 0 1 0 0 0 1 0 -2.3979400086720375
29 0 1 0 0 1 0 0 -2.0
30 0 1 0 0 0 1 0 -2.42021640338319
31 0 1 0 0 0 1 0 -1.8860566476931633
32 0 0 1 0 1 0 0 -3.642065152999546
33 0 1 0 0 1 0 0 -2.0
34 0 0 1 0 1 0 0 -3.642065152999546
35 0 0 1 0 1 0 0 -3.642065152999546
36 0 0 1 0 1 0 0 -3.642065152999546
37 0 1 0 0 0 1 0 -0.638272163982407
38 0 0 1 0 1 0 0 -3.642065152999546
39 0 0 1 0 1 0 0 -3.642065152999546
40 0 0 1 0 1 0 0 -3.642065152999546
41 0 1 0 0 0 1 0 -0.4814860601221125
42 0 0 1 0 1 0 0 -3.642065152999546
43 0 1 0 0 0 1 0 -1.2218487496163564
44 0 0 1 0 1 0 0 -3.642065152999546
45 0 1 0 0 1 0 0 -2.5228787452803374
46 0 1 0 0 1 0 1 -1.744727494896694
47 0 1 0 0 0 1 0 -2.0
48 0 1 0 0 0 1 0 -2.0
49 0 1 0 0 0 1 0 1.6020599913279625
50 0 1 0 0 1 0 0 -0.494850021680094
51 0 0 1 0 0 0 1 -4.0
52 0 1 0 0 1 0 0 -2.0
53 0 1 0 0 1 0 0 -2.0
54 0 1 0 0 1 0 0 -0.8239087409443188
55 0 1 0 1 0 0 0 -3.0
56 0 1 0 0 0 1 0 -2.221848749616356
57 0 0 1 0 1 0 0 -3.642065152999546
58 0 0 1 0 1 0 0 -3.642065152999546
59 0 0 1 0 1 0 0 -3.642065152999546
