id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -2.795880017344075
1 0 1 0 1 0 0 0 -0.6143937264016878
2 1 0 0 1 0 0 0 -2.619788758288394
3 1 0 0 1 0 0 0 -0.958607314841775
4 1 0 0 1 0 0 0 -2.468521082957745
5 0 0 1 0 0 0 1 -3.642065152999546
6 1 0 0 0 1 0 0 -2.5228787452803374
7 1 0 0 1 0 0 0 -2.0861861476162833
8 1 0 0 0 1 0 0 0.0
9 1 0 0 1 0 0 0 -3.0
10 1 0 0 0 1 0 0 -0.2596373105057561
11 1 0 0 1 0 0 0 -2.657577319177794
12 1 0 0 0 1 0 0 -1.0655015487564323
13 1 0 0 1 0 0 0 -2.886056647693163
14 1 0 0 0 1 0 0 -3.301029995663981
15 1 0 0 0 1 0 0 -2.207608310501746
16 1 0 0 0 1 0 0 -2.207608310501746
17 1 0 0 0 1 0 0 -2.619788758288394
18 1 0 0 0 1 0 0 -1.8239087409443187
19 1 0 0 1 0 0 0 -3.0457574905606752
20 1 0 0 0 1 0 0 -2.721246399047171
21 0 0 1 0 0 0 1 -3.642065152999546
22 0 0 1 0 0 0 1 -3.642065152999546
23 0 0 1 0 0 0 1 -3.642065152999546
24 0 0 1 0 0 0 1 -3.642065152999546
25 0 0 1 0 0 0 1 -3.642065152999546
26 0 0 1 0 0 0 1 -3.642065152999546
27 0 0 1 0 0 0 1 -3.642065152999546
28 1 0 0 0 0 0 1 1.4632956099620027
29 1 0 0 0 1 0 0 -2.221848749616356
30 0 0 1 0 0 0 1 -3.642065152999546
31 0 0 1 0 0 0 1 -3.642065152999546
32 1 0 0 0 0 0 1 -2.3979400086720375
33 1 0 0 0 0 1 1 -2.3665315444204134
34 0 0 1 0 0 0 1 -3.642065152999546
35 0 0 1 0 0 1 0 -4.0
36 1 0 0 0 1 0 0 -3.154901959985743
37 1 0 0 1 0 0 0 -3.0
38 1 0 0 0 1 0 0 -2.3010299956639813
39 0 0 1 0 0 0 1 -3.642065152999546
40 0 0 1 0 0 0 1 -3.642065152999546
41 0 0 1 0 0 0 1 -3.642065152999546
42 1 0 0 0 1 0 0 -2.0
43 1 0 0 0 0 0 1 -1.080921907623926
