id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_walking mov_swimming log_mass
0 1 0 0 0 0 1 0 -2.221848749616356
1 0 0 1 0 0 0 1 -0.9999999999999999
2 0 0 1 0 0 0 1 -0.16749108729376372
3 1 0 0 0 0 1 0 -2.0
4 1 0 0 0 0 1 0 -2.5228787452803374
5 0 1 0 1 0 0 0 -3.6420651529995465
6 1 0 0 0 0 1 0 -0.2676062401770315
7 1 0 0 0 0 1 0 -3.5228787452803374
8 1 0 0 0 0 1 0 -3.3979400086720375
9 1 0 0 0 0 1 0 -2.0
10 1 0 0 0 0 1 0 0.6354837468149122
11 1 0 0 0 0 1 0 0.13353890837021754
12 1 0 0 0 0 1 0 -2.0
13 1 0 0 0 0 1 0 -2.5086383061657274
14 1 0 0 0 0 1 0 -2.0555173278498313
15 0 1 0 1 0 0 0 -3.6420651529995465
16 1 0 0 1 0 0 0 0.9885589568786155
17 0 1 0 1 0 0 0 -3.642065152999546
18 1 0 0 1 0 0 0 -2.5228787452803374
19 1 0 0 1 0 0 0 -0.8860566476931632
20 0 1 0 0 1 0 0 -4.0
21 1 0 0 1 0 0 0 -2.5686362358410126
22 1 0 0 0 0 0 1 -3.0
23 0 1 0 1 0 0 0 -3.6420651529995465
24 0 1 0 1 0 0 0 -3.6420651529995465
25 1 0 0 0 0 1 0 -1.8860566476931633
26 1 0 0 1 0 0 0 -1.1674910872937636
