id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_sessile mov_other mov_walking log_mass
0 0 0 1 0 1 0 0 -3.6420651529995465
1 0 1 0 0 1 0 0 0.3364597338485295
2 0 1 0 0 1 0 0 -2.0
3 0 1 0 0 0 0 1 0.810232517995084
4 0 1 0 0 0 0 1 -0.5528419686577808
5 1 0 0 1 0 0 0 -0.6989700043360186
6 0 1 0 0 0 0 1 -2.0
7 1 0 0 1 0 0 0 0.012837224705172309
8 0 1 0 0 0 0 1 -0.11350927482751824
9 0 1 0 1 0 0 0 -0.9999999999999999
10 0 1 0 1 0 0 0 -1.013228265733755
11 0 1 0 0 0 0 1 0.9410142437055699
12 0 1 0 0 0 0 1 -0.42021640338318983
13 0 1 0 0 0 0 1 -0.008773924307505053
14 0 1 0 0 0 0 1 -2.0
15 0 1 0 0 1 0 0 -2.0
16 0 0 1 0 1 0 0 -3.6420651529995465
17 0 1 0 0 1 0 0 1.6492374723496073
18 0 0 1 0 1 0 0 -3.6420651529995465
19 0 0 1 0 1 0 0 -3.6420651529995465
20 0 0 1 0 1 0 0 -3.6420651529995465
21 0 0 1 0 1 0 0 -3.6420651529995465
22 0 0 1 0 1 0 0 -3.6420651529995465
23 0 0 1 0 1 0 0 -3.6420651529995465
24 0 1 0 0 0 0 1 -0.4202164033831898
25 0 1 0 0 1 0 0 -0.44369749923271273
26 0 0 1 0 1 0 0 -3.6420651529995465
27 0 0 1 0 0 1 0 -4.0
28 0 1 0 1 0 0 0 -3.0
29 0 0 1 0 1 0 0 -3.6420651529995465
30 0 0 1 0 1 0 0 -3.6420651529995465
31 0 0 1 0 1 0 0 -3.6420651529995465
32 0 1 0 0 1 0 0 -0.721246399047171
