id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_sessile mov_swimming mov_other log_mass
0 1 0 0 1 0 0 0 -0.744727494896694
1 1 0 0 0 1 0 0 0.19589965240923374
2 0 1 0 0 0 1 0 -0.22184874961635623
3 0 1 0 0 0 1 0 -0.2518119729937997
4 0 1 0 0 0 1 0 0.17609125905568124
5 1 0 0 1 0 0 0 -1.9999999999999998
6 1 0 0 1 0 0 0 0.37291200297010657
7 1 0 0 0 1 0 0 0.5910646070264993
8 0 0 1 0 1 0 0 -3.642065152999546
9 1 0 0 1 0 0 0 -0.22184874961635648
10 1 0 0 0 1 0 0 -0.3010299956639812
11 1 0 0 1 0 0 0 -3.2218487496163566
12 1 0 0 0 0 1 0 -2.0
13 1 0 0 1 0 0 0 -2.0
14 1 0 0 1 0 0 0 -0.431798275933005
15 1 0 0 0 0 1 0 -2.7695510786217263
16 1 0 0 0 0 1 0 -2.0
17 1 0 0 1 0 0 0 -0.8239087409443188
18 1 0 0 1 0 0 0 -3.3010299956639813
19 1 0 0 0 0 1 0 -0.8860566476931632
20 1 0 0 0 0 1 0 -0.619788758288394
21 1 0 0 1 0 0 0 0.4756711883244298
22 1 0 0 1 0 0 0 -0.49485002168009407
23 1 0 0 1 0 0 0 -2.6989700043360187
24 1 0 0 1 0 0 0 -2.0
25 1 0 0 0 0 1 0 -2.0
26 1 0 0 1 0 0 0 -2.0
27 1 0 0 1 0 0 0 -2.050609993355087
28 1 0 0 1 0 0 0 -2.0
29 1 0 0 0 1 0 0 -2.0
30 1 0 0 1 0 0 0 -2.0
31 1 0 0 1 0 0 0 -2.0
32 0 0 1 0 1 0 0 -3.642065152999546
33 1 0 0 0 1 0 0 -3.6989700043360187
34 0 0 1 0 1 0 0 -3.642065152999546
35 1 0 0 0 1 0 0 -2.0
36 0 0 1 0 1 0 0 -3.642065152999546
37 0 0 1 0 1 0 0 -3.642065152999546
38 1 0 0 1 0 0 0 -0.5086383061657274
39 0 0 1 0 1 0 0 -3.642065152999546
40 0 0 1 0 1 0 0 -3.642065152999546
41 0 0 1 0 1 0 0 -3.642065152999546
42 1 0 0 0 0 1 0 -2.0
43 0 0 1 0 1 0 0 -3.642065152999546
44 1 0 0 0 1 0 0 -2.3010299956639813
45 1 0 0 0 1 0 0 -0.2676062401770315
46 1 0 0 1 0 0 0 -2.0
47 1 0 0 1 0 0 0 -2.0
48 1 0 0 1 0 0 0 -2.0
49 0 0 1 0 1 0 0 -3.642065152999546
50 0 0 1 0 0 0 1 -4.0
51 1 0 0 0 1 0 0 -2.0
52 1 0 0 0 1 0 0 -2.0
53 1 0 0 0 1 0 0 -2.958607314841775
54 1 0 0 0 0 1 0 -3.0
55 0 0 1 0 1 0 0 -3.642065152999546
56 0 0 1 0 1 0 0 -3.642065152999546
