id met_ectotherm_vertebrate met_invertebrate met_primary_producer met_detritus met_endotherm_vertebrate mov_swimming mov_walking mov_floating mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 4.088136474424785 0
1 1 0 0 0 0 1 0 0 0 4.698970004336019 0
2 0 0 0 0 1 1 0 0 0 2.6989700043360187 0
3 1 0 0 0 0 1 0 0 0 3.076731585710319 0
4 1 0 0 0 0 1 0 0 0 4.139879086401237 0
5 1 0 0 0 0 1 0 0 0 1.9967150652599428 0
6 1 0 0 0 0 1 0 0 0 3.8164344564789126 0
7 0 1 0 0 0 1 0 0 0 1.0 1
8 1 0 0 0 0 1 0 0 0 2.0305381764986374 0
9 1 0 0 0 0 1 0 0 0 1.8104411950917518 0
10 1 0 0 0 0 1 0 0 0 2.961567362786332 0
11 1 0 0 0 0 1 0 0 0 3.5786017498232465 0
12 1 0 0 0 0 1 0 0 0 2.4654537497382707 0
13 1 0 0 0 0 1 0 0 0 2.261805880835016 0
14 1 0 0 0 0 1 0 0 0 3.2210389932397416 0
15 1 0 0 0 0 1 0 0 0 2.8169958608636136 0
16 1 0 0 0 0 1 0 0 0 1.8102076389314965 0
17 1 0 0 0 0 1 0 0 0 2.0593134998365734 0
18 1 0 0 0 0 1 0 0 0 2.9863712385863552 0
19 1 0 0 0 0 1 0 0 0 2.8169958608636136 0
20 0 0 0 1 0 0 0 0 1 1.0 1
21 1 0 0 0 0 1 0 0 0 2.3139684927799644 0
22 1 0 0 0 0 1 0 0 0 3.0863278479802854 0
23 0 1 0 0 0 0 1 0 0 1.0 0
24 0 0 1 0 0 0 0 1 0 1.0 1
25 1 0 0 0 0 1 0 0 0 1.0 1
26 0 1 0 0 0 1 0 0 0 -3.003488292822074 1
