id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -8.719362453074 1
1 1 0 0 0 1 0 0 0 0 -3.8685962908346276 0
2 1 0 0 0 0 0 0 0 1 -4.223298816011589 0
3 1 0 0 0 1 0 0 0 0 -3.6211208259104777 0
4 1 0 0 0 1 0 0 0 0 -4.2441251443275085 0
5 1 0 0 0 1 0 0 0 0 -2.7824839455024035 0
6 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
7 1 0 0 0 1 0 0 0 0 -2.9090693293921266 0
8 1 0 0 0 1 0 0 0 0 -2.9090693293921266 0
9 1 0 0 0 0 0 0 0 1 -3.3813380460921643 0
10 1 0 0 0 1 0 0 0 0 -3.7213446978694145 0
11 0 0 0 1 0 0 0 0 1 1.153814864344529 0
12 0 0 0 1 0 0 0 0 1 1.6532125137753437 0
13 1 0 0 0 0 0 0 0 1 -3.2156395090786987 0
14 1 0 0 0 1 0 0 0 0 -4.161150909262744 0
15 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
16 1 0 0 0 0 0 0 0 1 -3.547765689527963 0
17 1 0 0 0 0 0 0 0 1 -3.1245422620106797 0
18 1 0 0 0 0 0 0 0 1 -3.483324511068023 0
19 1 0 0 0 0 0 0 0 1 -3.6762015071639094 0
20 1 0 0 0 0 0 0 0 1 -3.4617543729150637 0
21 0 0 0 1 0 0 0 0 1 1.6989700043360187 0
22 1 0 0 0 1 0 0 0 0 -3.338424869431855 0
23 1 0 0 0 1 0 0 0 0 -3.0247515989940723 0
24 1 0 0 0 1 0 0 0 0 -2.9090693293921266 0
25 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
26 1 0 0 0 0 0 0 0 1 -3.4265319429602363 0
27 0 0 1 0 0 0 1 0 0 -4.958607314841775 1
28 1 0 0 0 0 0 0 0 1 -3.6098795172290097 0
29 1 0 0 0 0 0 0 0 1 -3.584467440476858 0
30 0 0 1 0 0 0 0 1 0 -7.96105281653477 1
31 1 0 0 0 1 0 0 0 0 -3.215639509078699 0
32 1 0 0 0 1 0 0 0 0 -3.545876515228029 0
33 1 0 0 0 0 0 0 0 1 -3.7541543362727525 0
34 1 0 0 0 1 0 0 0 0 -4.958607314841775 0
35 1 0 0 0 1 0 0 0 0 -3.215639509078699 0
36 1 0 0 0 1 0 0 0 0 -4.343901797987168 0
37 1 0 0 0 0 0 0 0 1 -3.6061458850071237 0
38 1 0 0 0 0 0 0 0 1 -3.9056057444414667 0
39 0 0 1 0 0 0 0 1 0 -9.978810700930062 1
40 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
41 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
42 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
43 1 0 0 0 1 0 0 0 0 -3.966298867191269 0
44 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
45 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
46 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
47 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
48 0 0 1 0 0 0 0 1 0 -8.03413362010073 1
49 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
50 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
51 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
52 0 0 1 0 0 0 0 1 0 -9.373146585333274 1
53 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
54 0 0 1 0 0 0 0 1 0 -10.886056647693163 1
55 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
56 0 0 1 0 0 0 1 0 0 -4.958607314841775 1
57 0 0 1 0 0 0 0 1 0 -8.765045099367 1
58 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
59 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
60 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
61 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
62 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
63 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
64 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
65 1 0 0 0 0 0 0 0 1 -3.2156395090786987 0
66 1 0 0 0 1 0 0 0 0 -4.073143291050307 0
67 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
68 1 0 0 0 1 0 0 0 0 -4.073143291050307 0
69 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
70 0 0 1 0 0 0 0 1 0 -7.529272063769566 1
71 0 0 1 0 0 0 0 1 0 -8.537482213248566 1
72 0 0 1 0 0 0 0 1 0 -8.528209723454808 1
73 1 0 0 0 0 0 0 0 1 -3.4265319429602363 0
74 1 0 0 0 0 0 0 1 0 -3.3871792180496048 1
75 1 0 0 0 1 0 0 0 0 -4.161150909262744 0
76 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
77 0 1 0 0 0 1 0 0 0 -4.958607314841775 1
78 0 0 1 0 0 0 1 0 0 -4.958607314841775 1
