id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.354577730650908 0
1 0 0 1 0 1 0 0 -5.295849483160201 0
2 1 0 0 0 1 0 0 1.3979400086720377 0
3 1 0 0 0 1 0 0 1.0 0
4 1 0 0 0 1 0 0 -1.7958800173440752 0
5 0 0 0 1 0 0 1 -10.590066876668706 0
6 0 0 1 0 1 0 0 -5.0 0
7 0 0 1 0 1 0 0 -4.841637507904751 0
8 0 0 1 0 1 0 0 -6.497572880015567 0
9 0 0 1 0 1 0 0 -5.133712660915805 0
10 0 0 1 0 1 0 0 -5.809668301829708 0
11 0 0 0 1 0 0 1 -10.438898616350944 0
12 0 0 1 0 1 0 0 -5.661543506395395 0
13 0 0 1 0 1 0 0 -4.493494967595128 0
14 0 0 1 0 1 0 0 -5.73754891026957 0
15 0 0 1 0 1 0 0 -6.497572880015567 0
16 0 0 0 1 0 0 1 -9.45717457304082 0
17 0 0 0 1 0 0 1 -10.323306390375134 0
18 0 0 1 0 1 0 0 -6.497572880015567 0
19 0 0 1 0 1 0 0 -5.698970004336019 0
20 0 0 1 0 1 0 0 -5.661543506395395 0
21 0 0 1 0 1 0 0 -6.068033885271827 0
22 0 0 1 0 1 0 0 -7.698970004336019 0
23 0 0 1 0 1 0 0 -8.0 0
24 0 0 1 0 1 0 0 -5.723538195826756 0
25 0 0 1 0 1 0 0 -8.0 0
26 0 0 1 0 1 0 0 -7.129011186239425 0
27 0 0 1 0 1 0 0 -5.863279432843593 0
28 0 0 1 0 1 0 0 -6.068033885271827 0
29 0 0 1 0 1 0 0 -6.293282217663242 0
30 0 0 1 0 1 0 0 -4.863279432843593 0
31 0 0 1 0 1 0 0 -5.910094888560602 0
32 0 0 1 0 1 0 0 -6.127261172527331 0
33 0 0 1 0 1 0 0 -2.7417564900754847 0
34 0 0 0 1 0 0 1 -10.323306390375134 0
35 0 0 0 1 0 0 1 -8.866461091629782 0
36 0 0 0 1 1 0 0 -8.94692155651658 0
37 0 0 0 1 0 0 1 -8.906578314837764 0
38 0 0 0 1 0 0 1 -8.027334407733889 0
39 0 0 0 1 0 0 1 -8.247951552180561 0
40 0 0 0 1 0 0 1 -9.045275209020938 0
41 0 0 0 1 1 0 0 -7.251811972993799 0
42 0 0 0 1 1 0 0 -7.251811972993799 0
43 0 0 0 1 0 0 1 -7.511449283499556 0
44 0 0 0 1 0 0 1 -9.79317412396815 0
45 0 0 0 1 0 0 1 -8.410050398674292 0
46 0 0 0 1 1 0 0 -9.79317412396815 0
47 0 0 0 1 0 0 1 -9.153662887870194 0
48 0 1 0 0 0 1 0 -11.45717457304082 1
49 1 0 0 0 1 0 0 2.0211892990699383 0
50 1 0 0 0 0 0 1 -1.6968039425795112 0
51 0 0 0 1 1 0 0 -11.45717457304082 0
