id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.354577730650908 0
1 1 0 0 0 1 0 0 0.3802112417116061 0
2 0 0 1 0 1 0 0 -4.649751981665837 0
3 0 0 1 0 1 0 0 -4.649751981665837 0
4 1 0 0 0 1 0 0 0.6989700043360189 0
5 1 0 0 0 1 0 0 1.0 0
6 0 0 1 0 1 0 0 -5.0 0
7 1 0 0 0 1 0 0 0.9542425094393249 0
8 1 0 0 0 1 0 0 0.3424226808222063 0
9 1 0 0 0 1 0 0 0.41497334797081786 0
10 0 0 1 0 1 0 0 -5.164309428507575 0
11 1 0 0 0 1 0 0 -1.7958800173440752 0
12 0 0 0 1 0 0 1 -10.258848401148216 0
13 0 0 1 0 1 0 0 -5.0 0
14 0 0 1 0 1 0 0 -4.841637507904751 0
15 0 0 1 0 1 0 0 -4.166215625343521 0
16 0 0 0 1 0 0 1 -10.590066876668706 0
17 0 0 0 1 0 0 1 -9.621602099051863 0
18 0 0 1 0 1 0 0 -5.809668301829708 0
19 0 0 1 0 1 0 0 -3.9136401693252516 0
20 1 0 0 0 1 0 0 1.0791812460476249 0
21 1 0 0 0 1 0 0 1.9294189257142929 0
22 1 0 0 0 1 0 0 2.808210972924222 0
23 0 0 1 0 1 0 0 -4.493494967595128 0
24 0 0 1 0 1 0 0 -5.73754891026957 0
25 0 0 1 0 1 0 0 -6.497572880015567 0
26 0 0 0 1 0 0 1 -9.45717457304082 0
27 0 0 0 1 0 0 1 -10.08460016478773 0
28 0 0 0 1 0 0 1 -10.323306390375134 0
29 0 0 1 0 1 0 0 -4.396855627379818 0
30 0 0 1 0 1 0 0 -5.777283528852417 0
31 0 0 1 0 1 0 0 -7.698970004336019 0
32 0 0 1 0 1 0 0 -5.723538195826756 0
33 0 0 1 0 1 0 0 -8.0 0
34 0 0 1 0 1 0 0 -5.962573502059376 0
35 0 0 1 0 1 0 0 -6.068033885271827 0
36 0 0 1 0 1 0 0 -6.293282217663242 0
37 0 0 1 0 1 0 0 -6.6020599913279625 0
38 0 0 1 0 1 0 0 -2.7417564900754843 0
39 0 0 0 1 0 0 1 -9.978810700930062 0
40 0 0 0 1 0 0 1 -13.46470587995723 0
41 0 0 0 1 0 0 1 -8.866461091629782 0
42 0 0 0 1 0 0 1 -8.866461091629782 0
43 0 0 0 1 0 0 1 -9.707743928643524 0
44 1 0 0 0 1 0 0 1.8129133566428555 0
45 0 0 0 1 0 0 1 -8.131355561605174 0
46 0 0 0 1 0 0 1 -8.247951552180561 0
47 0 0 0 1 0 0 1 -10.61798295742513 0
48 0 0 0 1 0 0 1 -9.045275209020938 0
49 0 0 0 1 0 0 1 -7.064996848546345 0
50 0 0 0 1 0 0 1 -9.308918507877031 0
51 0 0 0 1 1 0 0 -7.251811972993799 0
52 0 0 0 1 1 0 0 -7.251811972993799 0
53 1 0 0 0 1 0 0 0.36172783601759284 0
54 0 0 0 1 0 0 1 -7.511449283499556 0
55 0 0 0 1 0 0 1 -9.79317412396815 0
56 0 0 0 1 0 0 1 -9.19586056766465 0
57 0 0 0 1 0 0 1 -7.037157318798758 0
58 0 0 0 1 0 0 1 -9.441291429466835 0
59 0 0 0 1 0 0 1 -8.97061622231479 0
60 0 0 0 1 0 0 1 -8.97061622231479 0
61 0 0 0 1 0 0 1 -9.153662887870194 0
62 0 0 0 1 0 0 1 -9.153662887870194 0
63 0 1 0 0 0 1 0 -13.46470587995723 1
64 1 0 0 0 0 0 1 -1.6968039425795112 0
