id met_invertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 0 1 0 0 0 1 -3.642065152999546
1 1 0 0 1 0 0 -2.3279021420642825
2 1 0 1 0 0 0 -3.0
3 1 0 0 1 0 0 -0.3133637307377066
4 1 0 1 0 0 0 -3.0
5 1 0 1 0 0 0 -3.6989700043360187
6 1 0 0 1 0 0 -1.7721132953863266
7 1 0 0 1 0 0 -2.0
8 1 0 0 1 0 0 -3.5228787452803374
9 1 0 0 1 0 0 -2.6989700043360187
10 1 0 0 1 0 0 -2.769551078621726
11 1 0 1 0 0 0 -2.4814860601221125
12 0 1 0 0 0 1 -3.642065152999546
13 0 1 0 0 0 1 -3.642065152999546
14 0 1 0 0 0 1 -3.642065152999546
15 1 0 0 1 0 0 -3.0457574905606752
16 0 1 0 0 1 0 -4.0
17 1 0 0 0 0 1 -3.6989700043360187
18 1 0 1 0 0 0 -3.0
