id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 0 1 -2.0
1 1 0 0 0 1 0 -2.0
2 0 1 0 0 0 1 -3.642065152999546
3 1 0 1 0 0 0 -2.9208187539523753
4 1 0 0 0 1 0 -2.0
5 1 0 0 0 1 0 -2.0
6 1 0 1 0 0 0 -3.0
7 1 0 1 0 0 0 -3.6989700043360187
8 1 0 0 0 1 0 -2.0
9 1 0 0 0 0 1 -2.0
10 1 0 1 0 0 0 -3.6989700043360187
11 1 0 0 0 1 0 -2.0
12 1 0 0 0 1 0 -2.0
13 1 0 0 0 1 0 -3.5228787452803374
14 1 0 1 0 0 0 -3.0
15 1 0 1 0 0 0 -2.0
16 1 0 1 0 0 0 -0.8088285442714415
17 1 0 0 0 1 0 -3.6989700043360187
18 1 0 0 0 1 0 -2.4814860601221125
19 1 0 1 0 0 0 -2.42021640338319
20 1 0 0 0 1 0 -2.677780705266081
21 0 1 0 0 0 1 -3.642065152999546
22 0 1 0 0 0 1 -3.642065152999546
23 0 1 0 0 0 1 -3.642065152999546
24 0 1 0 0 0 1 -3.642065152999546
25 0 1 0 0 0 1 -3.642065152999546
26 0 1 0 0 0 1 -3.642065152999546
27 0 1 0 0 0 1 -3.642065152999546
28 1 0 0 0 1 0 -3.6989700043360187
29 0 1 0 0 0 1 -3.642065152999546
30 0 1 0 1 0 0 -4.0
31 1 0 1 0 0 0 -3.0
32 0 1 0 0 0 1 -3.642065152999546
33 0 1 0 0 0 1 -3.642065152999546
34 0 1 0 0 0 1 -3.642065152999546
35 0 1 0 0 0 1 -3.642065152999546
36 0 1 0 0 0 1 -3.642065152999546
