id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 0 0 1 -3.3979400086720375
1 1 0 0 0 0 1 0 -2.0
2 1 0 0 0 0 1 0 -2.0
3 1 0 0 0 0 1 0 -2.4559319556497243
4 0 0 1 1 0 0 0 -2.0
5 0 1 0 0 0 0 1 -3.642065152999546
6 1 0 0 1 0 0 0 -3.0457574905606752
7 1 0 0 0 0 1 0 -1.1784864715952268
8 1 0 0 0 0 1 0 -3.6989700043360187
9 1 0 0 1 0 0 0 -3.0
10 1 0 0 1 0 0 0 -3.6989700043360187
11 1 0 0 0 0 1 0 -3.6989700043360187
12 1 0 0 0 0 1 0 -1.8477116556169435
13 1 0 0 0 0 1 0 -2.0
14 1 0 0 0 0 1 0 -2.0
15 1 0 0 0 0 1 0 -2.0
16 1 0 0 1 0 0 0 -3.0
17 1 0 0 0 1 1 0 -2.0
18 1 0 0 0 0 1 0 -2.0
19 0 1 0 0 0 0 1 -3.642065152999546
20 0 1 0 0 0 0 1 -3.642065152999546
21 0 1 0 0 0 0 1 -3.642065152999546
22 0 1 0 0 0 0 1 -3.642065152999546
23 1 0 0 0 0 1 0 -3.3979400086720375
24 0 1 0 0 0 0 1 -3.642065152999546
25 0 1 0 0 1 0 0 -4.0
26 1 0 0 1 0 0 0 -3.0
