id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_swimming mov_other mov_sessile log_mass
0 1 0 0 1 0 0 0 -1.3010299956639813
1 1 0 0 1 0 0 0 0.22010808804005508
2 1 0 0 0 1 0 0 -2.3665315444204134
3 0 0 1 0 1 0 0 -0.1870866433571444
4 1 0 0 0 1 0 0 -0.9586073148417749
5 1 0 0 1 0 0 0 -3.5228787452803374
6 1 0 0 0 1 0 0 -3.6989700043360187
7 0 1 0 0 0 0 1 -3.642065152999546
8 0 1 0 0 0 0 1 -3.642065152999546
9 1 0 0 0 1 0 0 -3.6989700043360187
10 1 0 0 1 0 0 0 -3.6989700043360187
11 1 0 0 1 0 0 0 0.4329692908744057
12 0 1 0 0 0 1 0 -4.0
13 1 0 0 0 1 0 0 -3.0
14 1 0 0 1 0 0 0 -2.42021640338319
15 1 0 0 1 0 0 0 -1.9208187539523751
16 0 1 0 0 0 0 1 -3.642065152999546
17 0 1 0 0 0 0 1 -3.642065152999546
