id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 1 0 0 0 -0.44369749923271284
1 0 1 0 0 1 0 0 0.029383777685209667
2 0 1 0 0 1 0 0 -0.958607314841775
3 0 1 0 1 0 0 0 -3.0
4 0 1 0 1 0 0 0 -0.7695510786217261
5 0 1 0 1 0 0 0 -2.0
6 0 0 1 0 0 0 1 -3.6420651529995465
7 0 1 0 0 1 0 0 -2.0
8 1 0 0 1 0 0 0 -0.16749108729376366
9 0 1 0 0 1 0 0 -2.0
10 0 1 0 0 1 0 0 -2.0
11 0 0 1 0 0 1 0 -4.0
12 0 1 0 0 0 0 1 -2.0969100130080562
13 0 1 0 1 0 0 0 -3.0
14 0 1 0 0 1 0 0 -2.0
15 0 1 0 0 1 0 0 0.0
16 0 0 1 0 0 0 1 -3.6420651529995465
