id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 0 1 -2.0
2 0 0 1 0 0 1 0 -0.3872161432802645
3 1 0 0 0 0 0 1 -2.0
4 1 0 0 0 0 0 1 -2.0
5 1 0 0 0 0 1 0 -2.0
6 1 0 0 0 0 0 1 -0.5228787452803376
7 1 0 0 0 0 0 1 -2.0
8 1 0 0 0 0 1 0 -0.638272163982407
9 1 0 0 0 0 0 1 -2.0
10 1 0 0 0 0 0 1 -0.11918640771920865
11 1 0 0 1 0 0 0 0.7403626894942439
12 1 0 0 0 0 0 1 -0.026872146400301365
13 1 0 0 0 0 1 0 -3.0
14 1 0 0 0 0 0 1 -2.0
15 1 0 0 0 0 0 1 -2.0
16 0 1 0 1 0 0 0 -3.642065152999546
17 1 0 0 0 0 0 1 -0.06550154875643228
18 1 0 0 0 0 0 1 1.9493900066449128
19 0 1 0 1 0 0 0 -3.642065152999546
20 1 0 0 1 0 0 0 -2.0
21 0 1 0 1 0 0 0 -3.642065152999546
22 1 0 0 0 0 0 1 -0.1549019599857432
23 1 0 0 0 0 0 1 -2.0
24 0 1 0 1 0 0 0 -3.642065152999546
25 0 1 0 0 1 0 0 -4.0
26 1 0 0 1 0 0 0 -2.0
27 1 0 0 0 0 1 0 -3.0
28 1 0 0 0 0 0 1 -2.0
