id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_swimming mov_other mov_sessile log_mass
0 0 0 1 0 0 1 0 -3.6420651529995465
1 1 0 0 1 0 0 0 -0.2006594505464183
2 1 0 0 1 0 0 0 -0.9208187539523752
3 1 0 0 1 0 0 0 -2.0
4 1 0 0 1 0 0 0 -0.44369749923271273
5 0 1 0 0 1 0 0 -0.44369749923271273
6 1 0 0 0 1 0 0 -2.0
7 1 0 0 1 0 0 0 -2.0
8 0 0 1 0 0 0 1 -3.6420651529995465
9 1 0 0 0 1 0 0 -3.0
10 0 0 1 0 0 0 1 -3.6420651529995465
11 0 0 1 0 0 0 1 -3.6420651529995465
12 0 0 1 0 0 0 1 -3.6420651529995465
13 1 0 0 0 0 0 1 -0.44369749923271273
14 0 0 1 0 0 1 0 -4.0
15 1 0 0 0 1 0 0 -3.0
16 1 0 0 1 0 0 0 -2.0
17 1 0 0 1 0 0 0 0.4329692908744057
18 0 0 1 0 0 0 1 -3.6420651529995465
19 0 0 1 0 0 0 1 -3.6420651529995465
20 1 0 0 0 0 0 1 -0.00877392430750515
