id met_invertebrate met_primary_producer mov_walking mov_sessile mov_swimming mov_other log_mass
0 0 1 0 1 0 0 -3.642065152999546
1 1 0 0 0 1 0 -0.9139962943816181
2 1 0 1 0 0 0 -1.7721132953863266
3 1 0 1 0 0 0 -0.529883646848996
4 1 0 1 0 0 0 -1.171984935776023
5 1 0 1 0 0 0 -3.6989700043360187
6 1 0 1 0 0 0 -0.5124374397436217
7 0 1 0 1 0 0 -3.642065152999546
8 0 1 0 1 0 0 -3.6989700043360187
9 0 1 0 1 0 0 -3.642065152999546
10 1 0 0 1 0 0 -0.08846953769283744
11 0 1 0 1 0 0 -3.642065152999546
12 0 1 0 0 0 1 -4.0
13 1 0 0 1 0 0 0.4203023851786898
14 1 0 0 0 1 0 -3.0
15 0 1 0 1 0 0 -3.642065152999546
16 1 0 1 0 0 0 -3.3979400086720375
17 1 0 0 1 0 0 -1.8013429130455774
