id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 1 0 0 0 0 1 0 -3.0
1 0 0 1 0 0 1 0 -2.0
2 0 0 1 0 0 1 0 -0.6575773191777937
3 1 0 0 0 0 1 0 -3.6989700043360187
4 1 0 0 0 0 0 1 -0.46852108295774486
5 1 0 0 0 0 0 1 -1.6575773191777938
6 1 0 0 0 0 1 0 -3.5228787452803374
7 1 0 0 0 0 0 1 -2.0
8 1 0 0 0 0 0 1 -3.5228787452803374
9 0 1 0 0 1 0 0 -4.0
10 1 0 0 1 0 0 0 -2.0
11 1 0 0 0 0 1 0 -3.0
12 1 0 0 0 0 0 1 -3.0
13 1 0 0 0 0 1 0 -2.795880017344075
14 0 1 0 1 0 0 0 -3.642065152999546
15 1 0 0 0 0 0 1 -0.4145392704914993
16 1 0 0 0 0 0 1 0.38381536598043126
