id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 1 0 0 0 1 0 0 -0.6197887582883939
1 1 0 0 0 1 0 0 -0.8664610916297824
2 0 1 0 1 0 0 0 -0.7423214251308154
3 0 1 0 1 0 0 0 -0.7772835288524167
4 1 0 0 1 0 0 0 -2.8538719643217623
5 1 0 0 1 0 0 0 -1.0705810742857074
6 1 0 0 1 0 0 0 -2.6989700043360187
7 1 0 0 0 1 0 0 -0.8860566476931633
8 1 0 0 0 0 1 0 1.643353961976863
9 0 0 1 0 0 1 0 -3.642065152999546
10 1 0 0 0 1 0 0 -2.0
11 1 0 0 0 1 0 0 -2.619788758288394
12 1 0 0 1 0 0 0 -2.366531544420414
13 1 0 0 0 1 0 0 -3.154901959985743
14 1 0 0 1 0 0 0 -3.5228787452803374
15 1 0 0 0 1 0 0 -0.9208187539523752
16 1 0 0 1 0 0 0 -3.2218487496163566
17 1 0 0 0 1 0 0 -0.8860566476931634
18 1 0 0 0 1 0 0 -0.8860566476931634
19 1 0 0 0 1 0 0 -2.0
20 1 0 0 0 1 0 0 -0.37882371822496475
21 1 0 0 0 1 0 0 -3.3010299956639813
22 1 0 0 0 1 0 0 -0.638272163982407
23 1 0 0 0 1 0 0 -2.5686362358410126
24 1 0 0 0 1 0 0 -0.37675070960209955
25 1 0 0 0 1 0 0 -0.8239087409443189
26 1 0 0 0 1 0 0 -0.24412514432750854
27 1 0 0 0 1 0 0 -2.6989700043360187
28 1 0 0 0 1 0 0 -2.161150909262745
29 1 0 0 1 0 0 0 -3.301029995663981
30 1 0 0 0 1 0 0 -2.657577319177794
31 0 0 1 0 0 1 0 -3.642065152999546
32 1 0 0 0 0 1 0 -2.0
33 0 0 1 0 0 1 0 -3.642065152999546
34 1 0 0 0 0 1 0 -2.0
35 1 0 0 0 1 0 0 -1.9208187539523753
36 1 0 0 0 1 0 0 -2.0969100130080562
37 0 0 1 0 0 1 0 -3.642065152999546
38 0 0 1 0 0 1 0 -3.642065152999546
39 1 0 0 1 0 0 0 -3.0
40 1 0 0 1 0 0 0 -2.6989700043360187
41 0 0 1 0 0 1 0 -3.642065152999546
42 0 0 1 0 0 1 0 -3.642065152999546
43 1 0 0 0 1 0 0 -0.8181564120552275
44 0 0 1 0 0 1 0 -3.642065152999546
45 1 0 0 0 0 1 0 -2.0555173278498313
46 1 0 0 0 0 1 0 -0.5171264163912462
47 1 0 0 0 1 0 0 -2.0
48 1 0 0 0 1 0 0 -3.3010299956639813
49 0 0 1 0 0 0 1 -4.0
50 1 0 0 0 0 1 0 -0.3187587626244128
51 1 0 0 1 0 0 0 -3.0
52 1 0 0 0 1 0 0 -2.42021640338319
53 0 0 1 0 0 1 0 -3.642065152999546
54 0 0 1 0 0 1 0 -3.642065152999546
55 0 0 1 0 0 1 0 -3.642065152999546
56 1 0 0 0 0 1 0 -0.721246399047171
57 1 0 0 0 0 1 0 -2.0
58 1 0 0 0 0 1 0 -1.013228265733755
