id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 1 0 0 0 -2.853871964321762
1 0 1 0 1 0 0 0 -2.0
2 1 0 0 1 0 0 0 -1.080921907623926
3 1 0 0 0 0 0 1 2.0025979807199086
4 1 0 0 0 1 0 0 -0.9143527117031435
5 1 0 0 0 0 0 1 -3.6989700043360187
6 1 0 0 0 1 0 0 -2.0
7 0 0 1 0 0 0 1 -3.642065152999546
8 1 0 0 0 1 0 0 -2.283996656365201
9 1 0 0 0 1 0 0 -2.638272163982407
10 1 0 0 1 0 0 0 -2.275724130399211
11 1 0 0 0 1 0 0 -2.3279021420642825
12 1 0 0 1 0 0 0 -2.8538719643217623
13 1 0 0 0 1 0 0 -0.9871627752948278
14 1 0 0 1 0 0 0 -3.0
15 1 0 0 1 0 0 0 -2.0
16 1 0 0 0 1 0 0 -2.1249387366083
17 1 0 0 0 1 0 0 -3.6989700043360187
18 1 0 0 0 1 0 0 -3.3979400086720375
19 1 0 0 0 1 0 0 -2.638272163982407
20 1 0 0 0 1 0 0 -2.3010299956639813
21 1 0 0 0 1 0 0 1.3671694885346808
22 1 0 0 0 1 0 0 -2.366531544420414
23 1 0 0 0 1 0 0 -2.3872161432802645
24 1 0 0 0 1 0 0 -2.8239087409443187
25 1 0 0 0 1 0 0 -3.5228787452803374
26 1 0 0 1 0 0 0 -3.3010299956639813
27 1 0 0 0 1 0 0 -2.8239087409443187
28 1 0 0 0 0 0 1 -3.6989700043360187
29 0 0 1 0 0 0 1 -3.642065152999546
30 0 0 1 0 0 0 1 -3.642065152999546
31 0 0 1 0 0 0 1 -3.642065152999546
32 1 0 0 0 1 0 0 -2.0
33 0 0 1 0 0 0 1 -3.642065152999546
34 0 0 1 0 0 0 1 -3.642065152999546
35 1 0 0 0 1 0 0 -1.7958800173440752
36 1 0 0 0 1 0 0 -2.2006594505464183
37 0 0 1 0 0 0 1 -3.642065152999546
38 0 0 1 0 0 0 1 -3.642065152999546
39 1 0 0 0 0 0 1 -2.1249387366083
40 1 0 0 0 1 0 0 -0.04575749056067506
41 1 0 0 0 1 0 0 0.08635983067474821
42 1 0 0 0 0 0 1 -2.070581074285707
43 1 0 0 0 0 0 1 -0.7235381958267558
44 1 0 0 0 1 0 0 -2.0
45 1 0 0 0 1 0 0 -2.853871964321762
46 0 0 1 0 0 1 0 -4.0
47 1 0 0 0 0 0 1 -2.00436480540245
48 1 0 0 0 1 0 0 -3.0457574905606752
49 1 0 0 0 0 0 1 -3.0969100130080562
50 1 0 0 1 0 0 0 -3.0
51 1 0 0 0 1 0 0 -3.0969100130080562
52 0 0 1 0 0 0 1 -3.642065152999546
53 0 0 1 0 0 0 1 -3.642065152999546
54 0 0 1 0 0 0 1 -3.642065152999546
