id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.1911141326401875 0
1 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
2 1 0 0 0 0 1 0 0 0 -4.386158178123931 0
3 1 0 0 0 0 1 0 0 0 -2.291458092196252 0
4 1 0 0 0 0 1 0 0 0 -2.2410763802961324 0
5 1 0 0 0 0 1 0 0 0 -2.1897725241527835 0
6 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
7 1 0 0 0 0 1 0 0 0 -1.8045856730444987 0
8 1 0 0 0 0 1 0 0 0 -0.8502909654397324 0
9 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
10 1 0 0 0 0 1 0 0 0 -1.9608653866951 0
11 1 0 0 0 0 1 0 0 0 -1.631295853527069 0
12 1 0 0 0 0 1 0 0 0 -0.8770171470033065 0
13 1 0 0 0 0 1 0 0 0 -1.3775685525466086 0
14 1 0 0 0 0 1 0 0 0 -3.5091148905464045 0
15 1 0 0 0 0 1 0 0 0 -2.9064025311997015 0
16 1 0 0 0 0 1 0 0 0 -2.3305910624808894 0
17 1 0 0 0 0 1 0 0 0 -2.504042377514516 0
18 1 0 0 0 0 1 0 0 0 -3.0266370442054304 0
19 1 0 0 0 0 1 0 0 0 -2.714459568048722 0
20 1 0 0 0 0 1 0 0 0 -3.3392957529293206 0
21 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
22 1 0 0 0 0 1 0 0 0 -3.4957507589898924 0
23 1 0 0 0 0 1 0 0 0 -2.753902415733646 0
24 1 0 0 0 0 1 0 0 0 -2.9844470349145027 0
25 1 0 0 0 0 1 0 0 0 -2.8098955953783515 0
26 1 0 0 0 0 1 0 0 0 -2.4325563702558877 0
27 1 0 0 0 0 1 0 0 0 -2.3365312628283093 0
28 1 0 0 0 0 1 0 0 0 -3.043126413775545 0
29 1 0 0 0 0 1 0 0 0 -2.962386277828219 0
30 1 0 0 0 0 1 0 0 0 -2.7397527822103913 0
31 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
32 1 0 0 0 0 1 0 0 0 -2.75226873006445 0
33 1 0 0 0 0 1 0 0 0 -2.9759504876666605 0
