id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -0.7975116829399065
2 1 0 0 0 0 1 -0.7649768405047764
3 1 0 0 0 0 1 -0.9698052146432488
4 1 0 0 0 0 1 -1.4353339357479107
5 1 0 0 0 0 1 -2.0
6 0 1 1 0 0 0 -3.6989700043360187
7 0 1 1 0 0 0 -3.642065152999546
8 1 0 1 0 0 0 -1.0195421077239
9 0 1 1 0 0 0 -3.642065152999546
10 0 1 0 1 0 0 -4.0
11 1 0 1 0 0 0 -3.6989700043360187
12 1 0 1 0 0 0 0.14606598917739624
13 1 0 0 0 1 0 -3.0
14 0 1 1 0 0 0 -3.642065152999546
