id met_invertebrate met_primary_producer mov_walking mov_other mov_sessile mov_swimming log_mass
0 0 1 0 0 1 0 -3.642065152999546
1 1 0 0 0 0 1 -0.7039933306863277
2 1 0 1 0 0 0 -1.025028005701931
3 1 0 1 0 0 0 -2.0
4 1 0 1 0 0 0 -0.5815329790533995
5 0 1 0 0 1 0 -3.6989700043360187
6 0 1 0 1 0 0 -4.0
7 1 0 0 0 1 0 -0.007755855953228554
8 1 0 1 0 0 0 -2.3767507096020997
9 1 0 0 0 0 1 -3.0
10 0 1 0 0 1 0 -3.642065152999546
11 0 1 0 0 1 0 -3.642065152999546
12 0 1 0 0 1 0 -3.642065152999546
13 0 1 0 0 1 0 -3.642065152999546
14 1 0 1 0 0 0 -3.6989700043360187
