id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -9.290730039024169 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -4.84163750790475 0
3 0 0 1 0 1 0 0 -4.166215625343521 0
4 1 0 0 0 1 0 0 -1.795880017344075 0
5 0 0 1 0 1 0 0 -5.809668301829708 0
6 0 0 1 0 1 0 0 -5.0 0
7 1 0 0 0 1 0 0 1.0 0
8 0 0 1 0 1 0 0 -5.0 0
9 1 0 0 0 1 0 0 1.2142859873648222 0
10 1 0 0 0 1 0 0 1.662757831681574 0
11 0 0 1 0 1 0 0 -5.164309428507575 0
12 1 0 0 0 1 0 0 2.3324384599156054 0
13 1 0 0 0 1 0 0 2.255272505103306 0
14 0 0 0 1 0 0 1 -9.116338564846382 0
15 0 0 1 0 1 0 0 -4.493494967595128 0
16 0 0 1 0 1 0 0 -6.497572880015567 0
17 0 0 0 1 0 0 1 -10.323306390375134 0
18 0 0 1 0 1 0 0 -4.396855627379818 0
19 0 0 1 0 1 0 0 -6.068033885271827 0
20 0 0 1 0 1 0 0 -7.698970004336019 0
21 0 0 1 0 1 0 0 -5.723538195826756 0
22 0 0 1 0 1 0 0 -8.0 0
23 0 0 1 0 1 0 0 -5.962573502059376 0
24 0 0 1 0 1 0 0 -6.068033885271827 0
25 0 0 1 0 1 0 0 -6.701146923590294 0
26 0 0 1 0 1 0 0 -2.7417564900754847 0
27 0 0 0 1 0 0 1 -10.323306390375134 0
28 0 0 0 1 0 0 1 -8.493494967595128 0
29 0 0 0 1 0 0 1 -8.54515513999149 0
30 1 0 0 0 1 0 0 1.7558748556724915 0
31 0 0 0 1 0 0 1 -8.247951552180561 0
32 0 0 0 1 0 0 1 -9.236572006437063 0
33 0 0 0 1 0 0 1 -10.61798295742513 0
34 0 0 0 1 0 0 1 -9.899629454882437 0
35 0 0 0 1 0 0 1 -7.064996848546345 0
36 0 0 0 1 1 0 0 -7.251811972993799 0
37 0 0 0 1 0 0 1 -9.79317412396815 0
38 0 0 0 1 0 0 1 -9.19586056766465 0
39 0 0 0 1 0 0 1 -8.954677021213342 0
40 0 0 0 1 0 0 1 -8.97061622231479 0
41 0 1 0 0 0 1 0 -11.45717457304082 1
42 1 0 0 0 0 0 1 -1.6968039425795112 0
43 0 0 0 1 1 0 0 -11.45717457304082 0
