id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_other mov_swimming mov_sessile mov_floating log_mass
0 0 1 0 0 1 0 0 0 -8.374687549038326
1 1 0 0 1 0 0 0 0 -3.182753362196728
2 1 0 0 1 0 0 0 0 -3.235195679021613
3 1 0 0 1 0 0 0 0 -2.4517951501647985
4 1 0 0 1 0 0 0 0 -5.156144577376839
5 1 0 0 1 0 0 0 0 -4.004803708402821
6 1 0 0 1 0 0 0 0 -3.889100670696463
7 1 0 0 1 0 0 0 0 -3.0846471323442106
8 1 0 0 1 0 0 0 0 -3.906981274831326
9 1 0 0 1 0 0 0 0 -4.012780770091995
10 1 0 0 1 0 0 0 0 -1.0614525168881868
11 1 0 0 1 0 0 0 0 -4.031517051446065
12 1 0 0 0 0 1 0 0 -2.400510590183101
13 0 0 1 0 0 1 0 0 -0.12168088462927841
14 1 0 0 1 0 0 0 0 -2.045238818499671
15 1 0 0 1 0 0 0 0 -2.279040264754672
16 1 0 0 1 0 0 0 0 -4.195860567664649
17 1 0 0 1 0 0 0 0 -2.8431341775181584
18 1 0 0 1 0 0 0 0 -2.9085859563021774
19 1 0 0 1 0 0 0 0 -3.548766375573211
20 1 0 0 1 0 0 0 0 -3.958252128276734
21 1 0 0 1 0 0 0 0 -2.80883413728211
22 1 0 0 1 0 0 0 0 -3.936662887438872
23 1 0 0 1 0 0 0 0 -2.346027942437386
24 1 0 0 0 1 0 0 0 -2.8515926365443254
25 1 0 0 1 0 0 0 0 -2.0357516870706576
26 1 0 0 1 0 0 0 0 -3.4612277625833348
27 1 0 0 1 0 0 0 0 -3.52498437916386
28 1 0 0 1 0 0 0 0 -3.980513989374211
29 0 0 1 0 0 1 0 0 0.3564583634060891
30 1 0 0 1 0 0 0 0 -4.450996737974212
31 1 0 0 1 0 0 0 0 -3.937974871178138
32 1 0 0 0 0 0 1 0 -3.788118907816562
33 1 0 0 0 0 0 1 0 -3.2840158659690393
34 1 0 0 0 0 0 1 0 -3.325600944588754
35 1 0 0 0 0 0 1 0 -3.2840158659690393
36 0 0 1 0 0 1 0 0 0.7001238208407542
37 1 0 0 1 0 0 0 0 -3.8403636379459956
38 1 0 0 1 0 0 0 0 -4.55129368009492
39 1 0 0 1 0 0 0 0 -3.414533630340047
40 1 0 0 1 0 0 0 0 -3.8156010358187302
41 0 1 0 0 1 0 0 0 -8.643974142806877
42 0 1 0 0 1 0 0 0 -8.355561410532161
43 0 1 0 0 1 0 0 0 -8.441291429466835
44 0 1 0 0 1 0 0 0 -7.903089986991944
45 0 1 0 0 1 0 0 0 -9.039529222465701
46 0 1 0 0 1 0 0 0 -8.481486060122112
47 0 1 0 0 1 0 0 0 -8.935542010773082
48 1 0 0 1 0 0 0 0 -1.9200509128546526
49 1 0 0 1 0 0 0 0 -1.677250631239612
50 1 0 0 1 0 0 0 0 -3.925428558837501
51 1 0 0 1 0 0 0 0 -3.114835614254237
52 1 0 0 1 0 0 0 0 -3.3521946785271024
53 1 0 0 1 0 0 0 0 -3.467940283290708
54 1 0 0 1 0 0 0 0 -4.0695604052333
55 1 0 0 1 0 0 0 0 -2.6544151536484213
56 1 0 0 1 0 0 0 0 -2.472116040303517
57 1 0 0 1 0 0 0 0 -2.1265455840098846
58 1 0 0 1 0 0 0 0 -3.24722040100098
59 1 0 0 1 0 0 0 0 -4.037630664329979
60 1 0 0 1 0 0 0 0 -4.136677139879544
61 1 0 0 0 1 0 1 0 -2.848542502830355
62 1 0 0 1 0 0 0 0 -3.374264780869371
63 1 0 0 1 0 0 0 0 -3.9257615408262465
64 1 0 0 1 0 0 0 0 -4.455931955649724
65 1 0 0 1 0 0 0 0 -2.529817448467357
66 1 0 0 1 0 0 0 0 -3.369560937205027
67 1 0 0 1 0 0 0 0 -2.6638009210449023
68 1 0 0 1 0 0 0 0 -2.221729624502735
69 1 0 0 1 0 0 0 0 -4.006123085058789
70 1 0 0 1 0 0 0 0 -3.2349971781707207
71 1 0 0 1 0 0 0 0 -2.8014207082017304
72 0 1 0 0 1 0 0 0 -9.281498311132726
73 0 0 1 0 0 1 0 0 2.2442674840591925
74 0 0 1 0 0 1 0 0 1.4850842016194943
75 0 0 1 0 0 1 0 0 1.792513256654741
76 0 0 1 0 0 1 0 0 0.5084608183760939
77 0 0 1 0 0 1 0 0 0.9077450584227719
78 1 0 0 1 0 0 0 0 -1.3353509460655224
79 1 0 0 1 0 0 0 0 -1.5581779558254927
80 1 0 0 1 0 0 0 0 -1.2955389706427134
81 1 0 0 1 0 0 0 0 -2.7885718756569515
82 1 0 0 1 0 0 0 0 -3.385092242966588
83 1 0 0 1 0 0 0 0 -3.508417012464363
84 1 0 0 1 0 0 0 0 -3.6418632910818753
85 0 1 0 0 1 0 0 0 -8.163675884293248
86 0 1 0 0 1 0 0 0 -7.809668301829708
87 0 1 0 0 1 0 0 0 -7.826813731587726
88 0 1 0 0 1 0 0 0 -8.208309350979881
89 0 1 0 0 1 0 0 0 -8.462180904926726
90 0 1 0 0 1 0 0 0 -8.355561410532161
91 1 0 0 1 0 0 0 0 -3.3009509612601873
92 0 1 0 0 1 0 0 0 -8.462180904926726
93 0 1 0 0 1 0 0 0 -8.118045028660399
94 0 1 0 0 1 0 0 0 -8.41228903498109
95 0 1 0 0 1 0 0 0 -7.279840696594043
96 1 0 0 1 0 0 0 0 -2.253882981580893
97 0 1 0 0 1 0 0 0 -8.354577730650908
98 0 1 0 0 1 0 0 0 -8.522878745280337
99 1 0 0 1 0 0 0 0 -4.053056729302175
100 0 1 0 0 1 0 0 0 -8.193141970481182
101 1 0 0 0 0 1 0 0 -3.8097411573373057
102 0 1 0 0 1 0 0 0 -8.452225294612177
103 1 0 0 1 0 0 0 0 -3.3686566985733832
104 0 1 0 0 1 0 0 0 -7.889410289700751
105 0 1 0 0 1 0 0 0 -7.889410289700751
106 0 1 0 0 1 0 0 0 -7.950781977329818
107 0 1 0 0 1 0 0 0 -7.889410289700751
108 0 1 0 0 1 0 0 0 -7.43651891460559
109 0 1 0 0 1 0 0 0 -7.496209316942819
110 0 1 0 0 1 0 0 0 -8.954677021213342
111 0 1 0 0 1 0 0 0 -8.950781977329818
112 0 1 0 0 1 0 0 0 -7.607303046740334
113 0 1 0 0 1 0 0 0 -7.431798275933005
114 0 1 0 0 1 0 0 0 -9.327902142064282
115 0 1 0 0 1 0 0 0 -8.221848749616356
116 0 1 0 0 1 0 0 0 -8.221848749616356
117 0 1 0 0 1 0 0 0 -8.221848749616356
118 0 1 0 0 1 0 0 0 -8.301029995663981
119 0 1 0 0 1 0 0 0 -7.694648630553377
120 1 0 0 1 0 0 0 0 -2.5912978249703493
121 0 1 0 0 1 0 0 0 -8.60906489289662
122 0 1 0 0 1 0 0 0 -8.0
123 0 1 0 0 1 0 0 0 -8.684029654543082
124 0 1 0 0 1 0 0 0 -8.684029654543082
125 0 1 0 0 1 0 0 0 -7.801342913045577
126 0 1 0 0 0 0 0 1 -7.812479279163537
