,0,1,2
0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Acari phyto,0
1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Acari pred,1
2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Brachygluta sp,2
3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Bryaxis sp,3
4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Edaphus blŸhweissi,4
5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Heteroptera,5
6,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Propylaea quatuordecimpunctata,6
7,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Staphylinidae,7
8,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Acrididae,8
9,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Argiope bruennichi,9
10,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Conocephalus dorsalis,10
11,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Emberiza schoeniclus,11
12,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Falco subbuteo,12
13,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pisaura mirabilis,13
14,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Vulpes vulpes,14
15,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Agonum viduum,15
16,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Paederus riparius,16
17,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Anacaena limbata,17
18,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Araneae,18
19,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Arctosa sp,19
20,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Gabrius fermoralis,20
