id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3712032290698377 0
2 1 0 0 0 0 1 0 0 0 -4.251811972993799 0
3 1 0 0 0 0 1 0 0 0 -2.3315745699014996 0
4 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
5 1 0 0 0 0 1 0 0 0 -4.180456064458132 0
6 1 0 0 0 0 1 0 0 0 -3.690248502536241 0
7 1 0 0 0 0 1 0 0 0 -3.127003932156699 0
8 1 0 0 0 0 1 0 0 0 -1.9183594083992686 0
9 1 0 0 0 0 1 0 0 0 -2.9856823754029516 0
10 1 0 0 0 0 1 0 0 0 -2.3305910624808894 0
11 1 0 0 0 0 1 0 0 0 -1.1806464258583222 0
12 1 0 0 0 0 1 0 0 0 -2.7408580893623347 0
13 1 0 0 0 0 1 0 0 0 -2.878591512309745 0
14 1 0 0 0 0 1 0 0 0 -2.714459568048722 0
15 1 0 0 0 0 1 0 0 0 -2.304265613143428 0
16 1 0 0 0 0 1 0 0 0 -2.3413373637942554 0
17 1 0 0 0 0 1 0 0 0 -2.3978925645914755 0
18 1 0 0 0 0 1 0 0 0 -2.7074039382755846 0
19 1 0 0 0 0 1 0 0 0 -2.9844470349145027 0
20 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
21 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
22 1 0 0 0 0 1 0 0 0 -2.9369873190377906 0
23 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
24 1 0 0 0 0 1 0 0 0 -2.155065471614301 0
25 1 0 0 0 0 1 0 0 0 -2.69948168740102 0
26 1 0 0 0 0 1 0 0 0 -3.023741292046026 0
27 1 0 0 0 0 1 0 0 0 -2.9351307489774587 0
28 1 0 0 0 0 1 0 0 0 -4.1911141326401875 0
29 1 0 0 0 0 1 0 0 0 -2.0342887372470733 0
30 1 0 0 0 0 1 0 0 0 -2.3289521854189483 0
31 1 0 0 0 0 1 0 0 0 -0.9551638289685429 0
32 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
33 1 0 0 0 0 1 0 0 0 -3.0576600246982197 0
34 1 0 0 0 0 1 0 0 0 -1.3252559601057776 0
35 1 0 0 0 0 1 0 0 0 -2.392291122760822 0
36 1 0 0 0 0 1 0 0 0 -4.603800652904264 0
37 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
38 1 0 0 0 0 1 0 0 0 -4.09366495819491 0
39 1 0 0 0 0 1 0 0 0 -4.14569395819892 0
40 1 0 0 0 0 1 0 0 0 -3.221145039169331 0
41 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
42 1 0 0 0 0 1 0 0 0 -4.657577319177793 0
43 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
44 1 0 0 0 0 1 0 0 0 -4.086716098239582 0
45 1 0 0 0 0 1 0 0 0 -4.6777807052660805 0
46 1 0 0 0 0 1 0 0 0 -4.634512015109101 0
47 1 0 0 0 0 1 0 0 0 -4.1904402853647325 0
48 1 0 0 0 0 1 0 0 0 -4.616184634019569 0
49 1 0 0 0 0 1 0 0 0 -4.673664139071248 0
50 1 0 0 0 0 1 0 0 0 -5.189767482004916 0
51 1 0 0 0 0 1 0 0 0 -4.565431095965801 0
52 1 0 0 0 0 1 0 0 0 -4.095284454721319 0
53 1 0 0 0 0 1 0 0 0 -4.798602875679548 0
54 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
55 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
56 1 0 0 0 0 1 0 0 0 -4.698970004336019 0
57 1 0 0 0 0 1 0 0 0 -4.701146923590294 0
58 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
59 1 0 0 0 0 1 0 0 0 -1.5534575363056389 0
60 1 0 0 0 0 1 0 0 0 -1.0 0
61 1 0 0 0 0 1 0 0 0 -4.5718652059712115 0
62 1 0 0 0 0 1 0 0 0 -3.135286651271706 0
63 1 0 0 0 0 1 0 0 0 -2.398241296378829 0
64 1 0 0 0 0 1 0 0 0 -3.5471835293631724 0
65 1 0 0 0 0 1 0 0 0 -1.5724071829098327 1
66 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
67 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
68 1 0 0 0 0 1 0 0 0 -6.133122185662502 0
69 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
70 1 0 0 0 0 1 0 0 0 -3.616890487197704 0
71 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
72 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
73 1 0 0 0 0 1 0 0 0 -4.119186407719209 0
74 1 0 0 0 0 1 0 0 0 -1.7297871451037574 0
75 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
76 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
77 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
78 1 0 0 0 0 1 0 0 0 -3.98413330474121 0
79 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
80 1 0 0 0 0 1 0 0 0 -2.8419201928921303 0
81 1 0 0 0 0 1 0 0 0 -2.659836184774452 0
82 1 0 0 0 0 1 0 0 0 -5.175223537524454 0
83 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
84 1 0 0 0 0 1 0 0 0 -3.6529765388448094 0
85 1 0 0 0 0 1 0 0 0 -3.9070584054529816 0
86 1 0 0 0 0 1 0 0 0 -4.167491087293763 0
87 1 0 0 0 0 1 0 0 0 -3.9544540623693325 0
