id met_invertebrate met_primary_producer mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 1 0 -3.642065152999546
1 1 0 0 0 0 1 -2.0
2 1 0 0 0 0 1 -0.6197887582883939
3 1 0 1 0 0 0 -2.0
4 0 1 0 0 1 0 -3.642065152999546
5 0 1 0 0 1 0 -3.642065152999546
6 0 1 0 0 1 0 -3.642065152999546
7 0 1 0 0 1 0 -3.642065152999546
8 0 1 0 1 0 0 -4.0
9 1 0 1 0 0 0 -3.0
10 1 0 0 0 1 0 -2.0
11 1 0 1 0 0 0 -3.0
12 0 1 0 0 1 0 -3.642065152999546
13 0 1 0 0 1 0 -3.642065152999546
14 0 1 0 0 1 0 -3.642065152999546
15 1 0 0 0 1 0 -2.0
16 1 0 0 0 1 0 -2.0
17 1 0 0 0 0 1 -2.0
