id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.590066876668706 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -4.841637507904751 0
3 0 0 1 0 1 0 0 -4.166215625343521 0
4 0 0 0 1 0 0 1 -9.821023052706831 0
5 0 0 0 1 0 0 1 -9.621602099051863 0
6 0 0 1 0 1 0 0 -5.809668301829708 0
7 0 0 1 0 1 0 0 -3.9136401693252516 0
8 1 0 0 0 1 0 0 1.5185139398778875 0
9 0 0 1 0 1 0 0 -2.341035157335565 0
10 0 0 1 0 1 0 0 -5.0 0
11 1 0 0 0 1 0 0 1.0791812460476249 0
12 1 0 0 0 1 0 0 1.8864907251724818 0
13 0 0 1 0 1 0 0 -5.164309428507575 0
14 1 0 0 0 1 0 0 -1.7958800173440752 0
15 0 0 0 1 0 0 1 -10.438898616350944 0
16 1 0 0 0 1 0 0 2.03342375548695 0
17 1 0 0 0 1 0 0 2.8744818176994666 0
18 1 0 0 0 1 0 0 2.69284691927723 0
19 0 0 0 1 0 0 1 -10.137272471682026 0
20 0 0 1 0 1 0 0 -5.73754891026957 0
21 0 0 1 0 1 0 0 -6.497572880015567 0
22 0 0 0 1 0 0 1 -9.45717457304082 0
23 0 0 0 1 0 0 1 -10.08460016478773 0
24 0 0 0 1 0 0 1 -10.323306390375134 0
25 0 0 1 0 1 0 0 -4.396855627379818 0
26 0 0 1 0 1 0 0 -7.698970004336019 0
27 0 0 1 0 1 0 0 -7.698970004336019 0
28 0 0 1 0 1 0 0 -5.723538195826756 0
29 0 0 1 0 1 0 0 -8.0 0
30 0 0 1 0 1 0 0 -6.068033885271827 0
31 0 0 1 0 1 0 0 -6.6020599913279625 0
32 0 0 1 0 1 0 0 -2.7417564900754847 0
33 0 0 0 1 0 0 1 -10.323306390375134 0
34 0 0 0 1 0 0 1 -8.866461091629782 0
35 0 0 0 1 0 0 1 -9.707743928643524 0
36 0 0 0 1 0 0 1 -8.027334407733889 0
37 1 0 0 0 1 0 0 1.7323937598229686 0
38 0 0 0 1 0 0 1 -9.600326278518962 0
39 0 0 0 1 0 0 1 -8.247951552180561 0
40 0 0 0 1 0 0 1 -9.236572006437063 0
41 0 0 0 1 0 0 1 -10.61798295742513 0
42 0 0 0 1 0 0 1 -7.064996848546345 0
43 0 0 0 1 0 0 1 -9.308918507877031 0
44 0 0 0 1 1 0 0 -7.251811972993799 0
45 0 0 0 1 0 0 1 -9.023191662661933 0
46 0 0 0 1 0 0 1 -10.114638779968487 0
47 0 0 0 1 0 0 1 -9.79317412396815 0
48 0 0 0 1 0 0 1 -9.79317412396815 0
49 0 0 0 1 0 0 1 -9.19586056766465 0
50 0 0 0 1 0 0 1 -8.954677021213342 0
51 0 0 0 1 0 0 1 -8.97061622231479 0
52 0 0 0 1 0 0 1 -9.153662887870194 0
53 0 0 0 1 0 0 1 -9.153662887870194 0
54 0 1 0 0 0 1 0 -10.61798295742513 1
55 1 0 0 0 0 0 1 -1.6968039425795112 0
