id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 0 1 0 0 0 1 0 0 -9.51999305704285 1
1 1 0 0 0 1 0 0 0 -4.011441043121384 0
2 1 0 0 0 1 0 0 0 -2.7824978947602146 0
3 1 0 0 0 1 0 0 0 -3.8490747858957786 0
4 1 0 0 0 1 0 0 0 -3.4729800860295894 0
5 1 0 0 0 1 0 0 0 -3.254549659246653 0
6 1 0 0 0 1 0 0 0 -3.9921711726356928 0
7 1 0 0 0 1 0 0 0 -2.618044952431426 0
8 1 0 0 0 1 0 0 0 -3.829764695207651 0
9 1 0 0 0 1 0 0 0 -3.1880257340214864 0
10 1 0 0 0 1 0 0 0 -3.337039230276103 0
11 1 0 0 0 1 0 0 0 -4.064996848546345 0
12 0 0 0 1 0 0 0 1 0.07933374855767525 0
13 1 0 0 0 1 0 0 0 -2.552536208916858 0
14 1 0 0 0 1 0 0 0 -2.896917395878841 0
15 1 0 0 0 1 0 0 0 -3.535494058780388 0
16 0 0 1 0 0 0 1 0 -8.698970004336019 0
17 0 0 1 0 0 0 1 0 -8.600326278518962 0
18 0 0 1 0 0 0 1 0 -9.411168274405792 0
19 0 0 1 0 0 0 1 0 -8.832682665251824 0
20 0 0 1 0 0 0 1 0 -9.51999305704285 0
21 0 1 0 0 0 1 0 0 -9.51999305704285 1
22 0 0 1 0 0 0 1 0 -9.0 0
