id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_walking mov_sessile mov_flying mov_other log_mass mass_missing
0 1 0 0 1 0 0 0 2.093421685162235 0
1 1 0 0 0 0 1 0 3.237732193117367 0
2 0 0 1 0 0 0 1 -2.6989700043360187 0
3 1 0 0 0 0 1 0 2.496929648073215 0
4 1 0 0 0 0 1 0 1.462397997898956 0
5 1 0 0 0 0 1 0 1.9807303765359452 0
6 0 1 0 0 1 0 0 -2.6989700043360187 1
7 1 0 0 1 0 0 0 1.6434526764861874 0
8 1 0 0 0 0 1 0 3.1055101847699738 0
9 0 1 0 0 1 0 0 -2.6989700043360187 1
10 1 0 0 0 0 1 0 2.88280904139244 0
11 1 0 0 1 0 0 0 3.5185139398778875 0
12 0 1 0 0 1 0 0 -2.6989700043360187 1
13 1 0 0 0 0 1 0 3.0453229787866576 0
14 0 1 0 0 1 0 0 -2.6989700043360187 1
15 1 0 0 0 0 1 0 2.978180516937414 0
