id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.133712660915805 0
1 1 0 0 0 1 0 0 1.9867717342662448 0
2 1 0 0 0 1 0 0 1.255272505103306 0
3 1 0 0 0 1 0 0 1.6020599913279625 0
4 1 0 0 0 1 0 0 1.255272505103306 0
5 1 0 0 0 1 0 0 1.7242758696007892 0
6 1 0 0 0 1 0 0 1.6812412373755872 0
7 1 0 0 0 1 0 0 -1.7958800173440752 0
8 0 0 1 0 1 0 0 -5.809668301829708 0
9 0 0 1 0 1 0 0 -3.9136401693252516 0
10 0 0 1 0 1 0 0 -5.0 0
11 0 0 1 0 1 0 0 -2.3410351573355648 0
12 0 0 1 0 1 0 0 -5.0 0
13 0 0 1 0 1 0 0 -5.164309428507575 0
14 0 0 1 0 1 0 0 -5.232844133917819 0
15 0 0 0 1 0 0 1 -10.8153085691824 0
16 0 0 1 0 1 0 0 -4.841637507904751 0
17 0 0 1 0 1 0 0 -5.2373214362725635 0
18 0 0 1 0 1 0 0 -4.166215625343521 0
19 0 0 0 1 0 0 1 -9.116338564846382 0
20 0 0 0 1 0 0 1 -8.826813731587727 0
21 0 0 1 0 1 0 0 -4.493494967595128 0
22 0 0 1 0 1 0 0 -5.73754891026957 0
23 0 0 1 0 1 0 0 -6.497572880015567 0
24 0 0 0 1 0 0 1 -10.323306390375134 0
25 0 0 1 0 1 0 0 -5.0 0
26 0 0 1 0 1 0 0 -5.0 0
27 0 0 1 0 1 0 0 -4.396855627379818 0
28 0 0 1 0 1 0 0 -6.068033885271827 0
29 0 0 1 0 1 0 0 -8.0 0
30 0 0 1 0 1 0 0 -5.723538195826756 0
31 0 0 1 0 1 0 0 -8.0 0
32 0 0 1 0 1 0 0 -8.0 0
33 0 0 1 0 1 0 0 -5.962573502059376 0
34 0 0 1 0 1 0 0 -6.701146923590294 0
35 0 0 1 0 1 0 0 -5.354577730650908 0
36 0 0 1 0 1 0 0 -2.7417564900754843 0
37 0 0 0 1 0 0 1 -10.323306390375134 0
38 0 0 0 1 0 0 1 -8.866461091629782 0
39 0 0 0 1 0 0 1 -9.707743928643524 0
40 0 0 0 1 0 0 1 -8.247951552180561 0
41 0 0 0 1 0 0 1 -10.61798295742513 0
42 0 0 0 1 0 0 1 -7.064996848546345 0
43 0 0 0 1 1 0 0 -7.251811972993799 0
44 0 0 0 1 0 0 1 -9.19586056766465 0
45 0 0 0 1 0 0 1 -8.954677021213342 0
46 0 0 0 1 0 0 1 -8.410050398674292 0
47 0 0 0 1 1 0 0 -10.319664486585436 0
48 0 1 0 0 0 1 0 -11.45717457304082 1
49 1 0 0 0 1 0 0 2.4771212547196626 0
50 1 0 0 0 1 0 0 2.401400540781544 0
51 1 0 0 0 1 0 0 1.568201724066995 0
52 1 0 0 0 0 0 1 -1.6968039425795112 0
53 0 0 0 1 1 0 0 -11.45717457304082 0
