id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.809668301829708 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.164309428507575 0
3 0 0 1 0 1 0 0 -4.493494967595128 0
4 0 0 0 1 0 0 1 -10.323306390375134 0
5 0 0 1 0 1 0 0 -4.841637507904751 0
6 0 0 1 0 1 0 0 -7.698970004336019 0
7 0 0 1 0 1 0 0 -8.0 0
8 0 0 1 0 1 0 0 -5.863279432843593 0
9 0 0 1 0 1 0 0 -6.068033885271827 0
10 0 0 1 0 1 0 0 -5.910094888560602 0
11 0 0 1 0 1 0 0 -2.7417564900754847 0
12 0 0 0 1 0 0 1 -10.323306390375134 0
13 0 0 0 1 0 0 1 -8.866461091629782 0
14 0 0 0 1 0 0 1 -8.866461091629782 0
15 0 0 0 1 1 0 0 -8.94692155651658 0
16 0 0 0 1 0 0 1 -8.54515513999149 0
17 0 0 0 1 0 0 1 -8.027334407733889 0
18 0 0 0 1 0 0 1 -8.247951552180561 0
19 0 0 0 1 0 0 1 -10.61798295742513 0
20 0 0 0 1 0 0 1 -9.045275209020938 0
21 0 0 0 1 0 0 1 -9.899629454882437 0
22 0 0 0 1 0 0 1 -7.064996848546345 0
23 0 0 0 1 1 0 0 -7.251811972993799 0
24 0 0 0 1 1 0 0 -7.251811972993799 0
25 0 0 0 1 1 0 0 -7.251811972993799 0
26 0 0 1 0 1 0 0 -6.701146923590294 0
27 0 0 0 1 0 0 1 -9.19586056766465 0
28 0 0 0 1 0 0 1 -8.410050398674292 0
29 0 0 0 1 0 0 1 -8.97061622231479 0
30 0 1 0 0 0 1 0 -10.61798295742513 1
31 1 0 0 0 1 0 0 2.230448921378274 0
