id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 1 0 0 0 1 0 0 0 -3.483549245753389 0
1 0 0 0 1 0 0 0 1 0.6761793357463644 0
2 0 0 1 0 0 0 1 0 -8.166852888087215 0
3 1 0 0 0 1 0 0 0 -3.2172551313088493 0
4 1 0 0 0 1 0 0 0 -3.3665305344344207 0
5 1 0 0 0 1 0 0 0 -3.3195765485898296 0
6 0 1 0 0 0 1 0 0 -9.447331783887806 1
7 1 0 0 0 1 0 0 0 -3.728690555930893 0
8 1 0 0 0 1 0 0 0 -2.8440739659433443 0
9 1 0 0 0 1 0 0 0 -3.5893391562727848 0
10 1 0 0 0 1 0 0 0 -2.8158746561959247 0
11 1 0 0 0 1 0 0 0 -3.548121497666496 0
12 1 0 0 0 1 0 0 0 -3.1902706406583783 0
13 0 0 1 0 0 0 1 0 -8.567030709125595 0
14 0 0 1 0 0 0 1 0 -9.447331783887806 0
15 0 0 1 0 0 0 1 0 -8.8153085691824 0
16 0 0 1 0 0 0 1 0 -7.723538195826756 0
17 0 1 0 0 0 1 0 0 -9.447331783887806 1
18 0 0 1 0 0 0 1 0 -9.250263684430939 0
19 0 0 1 0 0 0 1 0 -9.0 0
