id met_invertebrate met_heterotrophic_bacteria met_heterotrophic_fungi mov_other mov_walking mov_sessile log_mass mass_missing
0 1 0 0 0 1 0 -4.860120913598763 0
1 1 0 0 0 1 0 -5.359518563029578 0
2 1 0 0 0 1 0 -5.329754146925875 0
3 1 0 0 0 1 0 -5.570247719997592 0
4 1 0 0 0 1 0 -5.527243550682788 0
5 1 0 0 0 1 0 -4.467245621007502 0
6 1 0 0 0 1 0 -4.790484985457369 0
7 1 0 0 0 1 0 -4.179798540514359 0
8 1 0 0 0 1 0 -4.533132379645891 0
9 1 0 0 0 1 0 -3.979999397807417 0
10 1 0 0 0 1 0 -4.920818753952375 0
11 1 0 0 1 0 0 -7.324221658325915 0
12 1 0 0 0 1 0 -5.140261433802853 0
13 1 0 0 1 0 0 -5.718966632752273 0
14 1 0 0 1 0 0 -6.6777807052660805 0
15 1 0 0 1 0 0 -6.519993057042849 0
16 1 0 0 1 0 0 -6.8297382846050425 0
17 1 0 0 1 0 0 -7.0 0
18 1 0 0 1 0 0 -6.665546248849069 0
19 1 0 0 1 0 0 -7.665546248849069 0
20 1 0 0 1 0 0 -7.289882634888183 0
21 1 0 0 1 0 0 -7.137272471682025 0
22 1 0 0 1 0 0 -10.38933983691012 0
23 1 0 0 1 0 0 -7.991399828238082 0
24 1 0 0 1 0 0 -8.110138278741811 0
25 0 1 0 1 0 0 -12.98296666070122 0
26 1 0 0 0 1 0 -0.6800000001775262 0
27 1 0 0 0 1 0 -0.330000000266665 0
28 1 0 0 0 1 0 -1.0300000003708838 0
29 1 0 0 1 0 0 -7.369572124974976 0
30 1 0 0 1 0 0 -7.653647025549361 0
31 1 0 0 1 0 0 -7.954677021213342 0
32 1 0 0 0 1 0 -4.6595558851598815 0
33 1 0 0 0 1 0 -5.110138278741812 0
34 1 0 0 0 1 0 -5.241088107602026 0
35 1 0 0 0 1 0 -5.42021640338319 0
36 1 0 0 1 0 0 -7.562249437179612 0
37 1 0 0 1 0 0 -11.283162276700475 0
38 1 0 0 0 1 0 -4.7121982700697735 0
39 1 0 0 0 1 0 -1.3200000021074918 0
40 1 0 0 0 1 0 -1.4000000006038094 0
41 1 0 0 0 1 0 -2.1000000189853054 0
42 1 0 0 0 1 0 -5.229884705212898 0
43 1 0 0 0 1 0 -4.860120913598763 0
44 1 0 0 0 1 0 -6.089909454405932 0
45 1 0 0 1 0 0 -7.8996294548824375 0
46 1 0 0 1 0 0 -7.230622673923862 0
47 1 0 0 1 0 0 -8.410050398674292 0
48 1 0 0 1 0 0 -7.0195421077238995 0
49 1 0 0 1 0 0 -8.149966742310232 0
50 1 0 0 1 0 0 -7.478861916295964 0
51 1 0 0 1 0 0 -7.931814138253838 0
52 1 0 0 1 0 0 -7.85078088734462 0
53 1 0 0 0 1 0 -5.739928612014925 0
54 1 0 0 0 0 1 -7.4089353929735005 0
55 1 0 0 1 0 0 -8.059981844992336 0
56 1 0 0 1 0 0 -7.679853713888946 0
57 1 0 0 1 0 0 -6.600326278518962 0
58 1 0 0 1 0 0 -7.782516055786093 0
59 1 0 0 0 1 0 -6.349692476868063 0
60 0 0 1 0 0 1 -7.4089353929735005 1
61 1 0 0 0 1 0 -3.8685674100710656 0
62 1 0 0 0 1 0 -4.600326278518962 0
63 1 0 0 0 1 0 -4.289036881004725 0
64 1 0 0 0 1 0 -3.100000128334196 0
65 1 0 0 0 1 0 -4.429457060118103 0
66 1 0 0 0 1 0 -3.520000247408364 0
67 1 0 0 0 1 0 -4.690369832574101 0
68 1 0 0 0 1 0 -4.844663962534939 0
69 1 0 0 0 1 0 -5.669586226650809 0
70 1 0 0 0 1 0 -5.468521082957745 0
71 1 0 0 0 1 0 -5.649751981665837 0
72 1 0 0 0 1 0 -5.064996848546345 0
73 1 0 0 0 1 0 -5.4698003017969175 0
74 1 0 0 0 1 0 -5.189767482004916 0
75 1 0 0 0 1 0 -5.570247719997592 0
76 1 0 0 0 1 0 -5.175874166083451 0
77 1 0 0 0 1 0 -5.82102305270683 0
78 1 0 0 1 0 0 -7.655607726314889 0
79 1 0 0 0 1 0 -5.179798540514359 0
80 1 0 0 1 0 0 -7.428291168191312 0
81 1 0 0 1 0 0 -7.301029995663981 0
82 1 0 0 1 0 0 -7.301029995663981 0
83 1 0 0 1 0 0 -5.329754146925876 0
84 1 0 0 1 0 0 -7.289882634888183 0
85 1 0 0 1 0 0 -7.718966632752273 0
86 1 0 0 0 1 0 -5.798602875679548 0
87 1 0 0 1 0 0 -7.33161408331 0
88 1 0 0 1 0 0 -6.6307841425898575 0
89 1 0 0 1 0 0 -7.860120913598763 0
90 1 0 0 1 0 0 -7.229884705212898 0
91 1 0 0 1 0 0 -8.279840696594043 0
92 1 0 0 0 1 0 -4.801342913045577 0
93 1 0 0 0 1 0 -5.259637310505756 0
94 1 0 0 0 1 0 -6.434152181326482 0
95 1 0 0 0 1 0 -6.661543506395395 0
96 1 0 0 1 0 0 -7.34008379993015 0
97 1 0 0 1 0 0 -7.2380721615794705 0
98 1 0 0 1 0 0 -6.739928612014925 0
99 1 0 0 1 0 0 -6.6595558851598815 0
100 1 0 0 1 0 0 -7.168770306132937 0
