id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.642065152999546
1 0 0 1 1 0 0 0 -0.26760624017703155
2 1 0 0 1 0 0 0 -2.113509274827518
3 1 0 0 0 0 0 1 -0.7258421507363202
4 1 0 0 0 0 0 1 -2.769551078621726
5 1 0 0 0 0 0 1 -2.886056647693163
6 1 0 0 1 0 0 0 -2.9208187539523753
7 1 0 0 1 0 0 0 -3.0
8 1 0 0 0 0 0 1 -4.0
9 1 0 0 0 0 0 1 -2.0
10 1 0 0 0 0 0 1 0.6074550232146685
11 0 1 0 0 0 1 0 -3.642065152999546
12 0 1 0 0 0 1 0 -3.642065152999546
13 0 1 0 0 0 1 0 -3.642065152999546
14 0 1 0 0 0 1 0 -3.642065152999546
15 1 0 0 0 0 1 0 -3.3010299956639813
16 0 1 0 0 0 1 0 -3.642065152999546
17 0 1 0 0 0 1 0 -3.642065152999546
18 0 1 0 0 0 1 0 -3.642065152999546
19 0 1 0 0 0 1 0 -3.642065152999546
20 0 1 0 0 1 0 0 -4.0
21 1 0 0 0 0 1 0 -2.0
22 1 0 0 0 0 1 0 -2.0
23 1 0 0 0 0 1 0 -2.0
24 1 0 0 1 0 0 0 -3.0
25 0 1 0 0 0 1 0 -3.642065152999546
26 0 1 0 0 0 1 0 -3.642065152999546
27 0 1 0 0 0 1 0 -3.642065152999546
28 0 1 0 0 0 1 0 -3.642065152999546
29 0 1 0 0 0 1 0 -3.642065152999546
30 1 0 0 0 0 0 1 0.3443922736851107
