id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_walking mov_sessile log_mass
0 0 1 0 0 0 0 1 -3.642065152999546
1 1 0 0 1 0 0 0 -2.3979400086720375
2 1 0 0 0 0 1 0 1.551327988003846
3 0 0 1 1 0 0 0 0.25527250510330607
4 1 0 0 0 0 1 0 -0.5376020021010439
5 1 0 0 0 0 1 0 -0.09691001300805634
6 1 0 0 0 0 1 0 -0.721246399047171
7 1 0 0 0 0 1 0 -0.7569619513137056
8 1 0 0 0 0 1 0 1.629817196018516
9 1 0 0 0 0 1 0 -2.4559319556497243
10 1 0 0 1 0 0 0 -2.657577319177794
11 1 0 0 0 0 1 0 -0.36251027048748935
12 1 0 0 0 0 1 0 -2.8538719643217623
13 1 0 0 0 0 1 0 -2.0
14 1 0 0 0 0 1 0 -3.0
15 1 0 0 0 0 1 0 0.6384892569546372
16 1 0 0 0 0 1 0 -3.0457574905606752
17 1 0 0 1 0 0 0 -2.0
18 1 0 0 1 0 0 0 -2.0
19 1 0 0 0 0 1 0 0.45331834004703775
20 1 0 0 0 0 1 0 -2.0
21 1 0 0 0 0 1 0 -0.6575773191777937
22 0 1 0 0 0 0 1 -3.642065152999546
23 0 1 0 0 0 0 1 -3.642065152999546
24 0 1 0 0 0 0 1 -3.642065152999546
25 1 0 0 0 0 0 1 -2.0
26 0 1 0 0 0 0 1 -3.642065152999546
27 0 1 0 0 0 0 1 -3.642065152999546
28 0 1 0 0 0 0 1 -3.642065152999546
29 1 0 0 0 0 1 0 0.3364597338485295
30 0 1 0 0 0 0 1 -3.642065152999546
31 0 1 0 0 0 0 1 -3.642065152999546
32 0 1 0 0 0 0 1 -3.642065152999546
33 0 1 0 0 0 0 1 -3.642065152999546
34 0 1 0 0 1 0 0 -4.0
35 1 0 0 0 0 0 1 -2.0
36 1 0 0 0 0 0 1 -2.0
37 1 0 0 0 0 0 1 -2.0
38 1 0 0 0 0 0 1 -2.42021640338319
39 1 0 0 0 0 0 1 -2.0
40 1 0 0 0 0 0 1 -2.0
41 1 0 0 1 0 0 0 -3.0
42 0 1 0 0 0 0 1 -3.642065152999546
43 0 1 0 0 0 0 1 -3.642065152999546
44 0 1 0 0 0 0 1 -3.642065152999546
45 0 1 0 0 0 0 1 -3.642065152999546
46 0 1 0 0 0 0 1 -3.642065152999546
47 0 1 0 0 0 0 1 -3.642065152999546
48 1 0 0 0 0 0 1 -0.6289321377282637
