id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.809668301829708 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.0 0
3 0 0 1 0 1 0 0 -2.1694113313148558 0
4 1 0 0 0 1 0 0 -1.7958800173440752 0
5 0 0 0 1 0 0 1 -10.438898616350944 0
6 0 0 1 0 1 0 0 -5.0 0
7 0 0 1 0 1 0 0 -4.995678626217358 0
8 0 0 1 0 1 0 0 -4.841637507904751 0
9 0 0 1 0 1 0 0 -5.2373214362725635 0
10 0 0 1 0 1 0 0 -5.661543506395395 0
11 0 0 0 1 0 0 1 -10.03905380426617 0
12 0 0 1 0 1 0 0 -5.73754891026957 0
13 0 0 0 1 0 0 1 -10.323306390375134 0
14 0 0 1 0 1 0 0 -4.396855627379818 0
15 0 0 1 0 1 0 0 -6.068033885271827 0
16 0 0 1 0 1 0 0 -8.0 0
17 0 0 1 0 1 0 0 -4.863279432843593 0
18 0 0 1 0 1 0 0 -5.910094888560602 0
19 0 0 1 0 1 0 0 -6.127261172527331 0
20 0 0 1 0 1 0 0 -2.7417564900754847 0
21 0 0 0 1 0 0 1 -10.323306390375134 0
22 0 0 0 1 0 0 1 -10.05256627811295 0
23 0 0 0 1 0 0 1 -8.866461091629782 0
24 0 0 0 1 0 0 1 -8.866461091629782 0
25 0 0 0 1 0 0 1 -8.493494967595128 0
26 0 0 0 1 0 0 1 -8.247951552180561 0
27 0 0 0 1 0 0 1 -10.61798295742513 0
28 0 0 0 1 0 0 1 -9.045275209020938 0
29 0 0 0 1 0 0 1 -7.064996848546345 0
30 0 0 0 1 0 0 1 -9.79317412396815 0
31 0 0 0 1 0 0 1 -9.19586056766465 0
32 0 0 0 1 0 0 1 -8.954677021213342 0
33 0 0 0 1 0 0 1 -8.97061622231479 0
34 0 0 0 1 0 0 1 -7.590066876668706 0
35 0 1 0 0 0 1 0 -11.45717457304082 1
36 1 0 0 0 0 0 1 -1.6968039425795112 0
37 1 0 0 0 1 0 0 2.7781512503836434 0
38 0 0 0 1 1 0 0 -11.45717457304082 0
