id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 0 1 1 0 0 0 -0.2676062401770315
1 1 0 0 1 0 0 0 -0.3010299956639812
2 1 0 0 0 0 1 0 -3.0
3 1 0 0 0 0 0 1 -2.193820026016113
4 1 0 0 0 0 0 1 -3.0969100130080562
5 0 1 0 0 0 1 0 -3.642065152999546
6 1 0 0 0 0 0 1 -3.3979400086720375
7 1 0 0 0 0 0 1 -2.8239087409443187
8 1 0 0 1 0 0 0 -3.0969100130080562
9 1 0 0 0 0 0 1 -3.2218487496163566
10 1 0 0 0 0 0 1 0.8918161195248604
11 1 0 0 0 0 0 1 -2.8239087409443187
12 1 0 0 0 0 0 1 0.4124605474299613
13 0 1 0 0 0 1 0 -3.642065152999546
14 0 1 0 0 0 1 0 -3.642065152999546
15 0 1 0 0 0 1 0 -3.642065152999546
16 0 1 0 0 0 1 0 -3.642065152999546
17 0 1 0 0 0 1 0 -3.642065152999546
18 0 1 0 0 0 1 0 -3.642065152999546
19 1 0 0 0 0 0 1 -0.10237290870955855
20 1 0 0 0 0 0 1 -3.154901959985743
21 1 0 0 0 0 0 1 0.3096301674258988
22 0 1 0 0 1 0 0 -4.0
23 1 0 0 0 0 1 0 -2.0
24 1 0 0 0 0 1 0 -2.0
25 1 0 0 0 0 1 0 -3.2218487496163566
26 1 0 0 0 0 1 0 -3.5228787452803374
27 1 0 0 1 0 0 0 -3.0
28 0 1 0 0 0 1 0 -3.642065152999546
29 1 0 0 0 0 1 0 0.667452952889954
