id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.6420651529995465
1 1 0 0 0 0 0 1 -3.3010299956639813
2 0 0 1 1 0 0 0 0.38560627359831223
3 1 0 0 0 0 0 1 -0.9430951486635273
4 1 0 0 0 0 0 1 -2.853871964321762
5 1 0 0 0 0 0 1 -3.0457574905606752
6 1 0 0 1 0 0 0 -3.0
7 1 0 0 1 0 0 0 -3.0
8 1 0 0 0 0 0 1 -3.6989700043360187
9 1 0 0 0 0 0 1 -3.0
10 1 0 0 0 0 0 1 -2.0222763947111524
11 1 0 0 1 0 0 0 -1.5686362358410126
12 1 0 0 0 0 0 1 -3.3979400086720375
13 1 0 0 0 0 0 1 -1.3665315444204136
14 0 1 0 0 0 1 0 -3.6420651529995465
15 0 1 0 0 0 1 0 -3.6420651529995465
16 0 1 0 0 0 1 0 -3.6420651529995465
17 1 0 0 0 0 0 1 -2.5228787452803374
18 0 1 0 0 0 1 0 -3.6420651529995465
19 0 1 0 0 0 1 0 -3.6420651529995465
20 1 0 0 0 0 1 0 -1.853871964321762
21 0 1 0 0 0 1 0 -3.6420651529995465
22 0 1 0 0 1 0 0 -4.0
23 1 0 0 0 0 1 0 -2.0
24 1 0 0 1 0 0 0 -3.0
25 0 1 0 0 0 1 0 -3.6420651529995465
26 0 1 0 0 0 1 0 -3.6420651529995465
