id met_invertebrate met_heterotrophic_fungi met_detritus met_primary_producer met_heterotrophic_bacteria mov_walking mov_sessile mov_other_nonliving mov_other log_mass mass_missing
0 0 0 1 0 0 0 1 0 0 0.9145507590248836 1
1 1 0 0 0 0 1 0 0 0 -2.188687325550824 0
2 1 0 0 0 0 1 0 0 0 -2.211124884224583 0
3 0 0 0 1 0 0 1 0 0 -0.7528574516599705 1
4 1 0 0 0 0 1 0 0 0 -1.9063643724390502 0
5 1 0 0 0 0 1 0 0 0 -1.7059738907866477 0
6 1 0 0 0 0 1 0 0 0 -1.9596449379669132 0
7 1 0 0 0 0 1 0 0 0 -1.445308979353098 0
8 1 0 0 0 0 1 0 0 0 -1.5075668655116472 0
9 0 0 0 0 1 0 0 0 1 -4.8326826652518236 1
10 1 0 0 0 0 1 0 0 0 -4.515700160653214 0
11 1 0 0 0 0 1 0 0 0 -4.8326826652518236 0
12 1 0 0 0 0 1 0 0 0 -4.559090917934783 0
13 1 0 0 0 0 1 0 0 0 -4.265200170411153 0
14 1 0 0 0 0 1 0 0 0 -4.5406075122407685 0
15 1 0 0 0 0 1 0 0 0 -3.5690256669255462 0
16 1 0 0 0 0 1 0 0 0 -2.0019968225986915 0
17 1 0 0 0 0 1 0 0 0 -4.403402904373539 0
18 1 0 0 0 0 1 0 0 0 -2.7931741239681505 0
19 1 0 0 0 0 1 0 0 0 -2.7931741239681505 0
20 1 0 0 0 0 1 0 0 0 -1.178109715925522 0
21 1 0 0 0 0 1 0 0 0 -1.0674537608684327 0
22 1 0 0 0 0 1 0 0 0 -0.7831745767339525 0
23 1 0 0 0 0 1 0 0 0 -2.380211206968049 0
24 1 0 0 0 0 1 0 0 0 -1.8685952318393768 0
25 1 0 0 0 0 1 0 0 0 -2.431798275933005 0
26 1 0 0 0 0 1 0 0 0 -1.9021943189465378 0
27 1 0 0 0 0 1 0 0 0 -2.4114481935143575 0
28 0 0 1 0 0 0 0 1 0 -4.8326826652518236 1
29 1 0 0 0 0 1 0 0 0 -0.9354746254780618 0
30 1 0 0 0 0 1 0 0 0 -1.6578611838903956 0
31 1 0 0 0 0 1 0 0 0 -2.742721592253385 0
32 1 0 0 0 0 1 0 0 0 -1.3313035433321556 0
33 1 0 0 0 0 1 0 0 0 -4.079354998593212 0
34 1 0 0 0 0 1 0 0 0 -0.3504704340521811 0
35 1 0 0 0 0 1 0 0 0 -3.9652392300335575 0
36 1 0 0 0 0 1 0 0 0 -2.7155692661554807 0
37 1 0 0 0 0 1 0 0 0 -3.994604968113294 0
38 1 0 0 0 0 1 0 0 0 -2.1870866433571443 0
39 1 0 0 0 0 1 0 0 0 -2.1564557880543647 0
40 1 0 0 0 0 1 0 0 0 -2.874286522038964 0
41 1 0 0 0 0 1 0 0 0 -2.13929237147584 0
42 1 0 0 0 0 1 0 0 0 -2.1106392934905234 0
43 1 0 0 0 0 1 0 0 0 -2.166034685780427 0
44 1 0 0 0 0 1 0 0 0 -2.691230118791979 0
45 1 0 0 0 0 1 0 0 0 -3.7333661907365103 0
46 1 0 0 0 0 1 0 0 0 -2.88779999259244 0
47 1 0 0 0 0 1 0 0 0 -2.1824713850749027 0
48 1 0 0 0 0 1 0 0 0 -3.745437422482621 0
49 1 0 0 0 0 1 0 0 0 -4.073657553374345 0
50 1 0 0 0 0 1 0 0 0 -3.9630159905894216 0
51 1 0 0 0 0 1 0 0 0 -2.566963887403461 0
52 1 0 0 0 0 1 0 0 0 -3.9150485679270424 0
53 1 0 0 0 0 1 0 0 0 -3.868519279732681 0
54 1 0 0 0 0 1 0 0 0 -3.2817400221584436 0
55 1 0 0 0 0 1 0 0 0 -4.0 0
56 1 0 0 0 0 1 0 0 0 -3.6368225318818737 0
57 1 0 0 0 0 1 0 0 0 -3.1771659464603865 0
58 1 0 0 0 0 1 0 0 0 -3.01173230534359 0
59 1 0 0 0 0 1 0 0 0 -2.6020599913279625 0
60 1 0 0 0 0 1 0 0 0 -2.318758762624413 0
61 1 0 0 0 0 1 0 0 0 -3.425968732272281 0
62 1 0 0 0 0 1 0 0 0 -2.7104498414075957 0
63 1 0 0 0 0 1 0 0 0 -3.4357281747484514 0
64 1 0 0 0 0 1 0 0 0 -4.0835460514500745 0
65 1 0 0 0 0 1 0 0 0 -3.1313684907267207 0
66 1 0 0 0 0 1 0 0 0 -1.5538772412718977 0
67 0 0 1 0 0 0 1 0 0 0.9145507590248836 1
68 0 1 0 0 0 0 1 0 0 -4.8326826652518236 1
69 1 0 0 0 0 1 0 0 0 -3.9866486726470813 0
70 1 0 0 0 0 1 0 0 0 -4.367542707815276 0
71 1 0 0 0 0 1 0 0 0 -4.0 0
