id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_flying mov_other mov_swimming log_mass
0 0 1 0 1 0 0 0 -4.462180904926726
1 0 1 0 1 0 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -4.094204119632131
3 0 1 0 1 0 0 0 -2.5883553817345106
4 0 1 0 0 1 0 0 -0.6186024885899137
5 1 0 0 0 1 0 0 1.3010299956639813
6 1 0 0 0 1 0 0 2.322219294733919
7 0 1 0 1 0 0 0 -1.473353296665315
8 0 0 1 1 0 0 0 0.0
9 0 1 0 1 0 0 0 -1.5571647880230333
10 0 1 0 1 0 0 0 -2.277635374168625
11 0 0 1 1 0 0 0 0.3010299956639812
12 0 1 0 1 0 0 0 -2.6453634264333115
13 0 1 0 1 0 0 0 -2.859544754290348
14 0 1 0 1 0 0 0 -3.6100741221474917
15 0 1 0 1 0 0 0 -1.9632942317384154
16 0 1 0 1 0 0 0 -3.3090441264835104
17 0 1 0 1 0 0 0 -2.92823247013955
18 0 1 0 1 0 0 0 -3.1094225068749637
19 0 1 0 1 0 0 0 -2.6227556913203514
20 0 1 0 1 0 0 0 -2.0144467591745103
21 0 1 0 1 0 0 0 -2.7649758293430153
22 0 1 0 1 0 0 0 -2.558514758626367
23 0 1 0 1 0 0 0 -2.984483490898648
24 0 1 0 1 0 0 0 -3.6100741221474917
25 0 1 0 1 0 0 0 -1.7731849596815425
26 0 1 0 1 0 0 0 -2.285513486562629
27 0 1 0 1 0 0 0 -1.729211009076003
28 0 1 0 0 1 0 0 -0.6186024885899137
29 0 1 0 1 0 0 0 -3.3032418344713745
30 0 1 0 1 0 0 0 -3.6100741221474917
31 0 1 0 1 0 0 0 -1.0416490258089108
32 0 1 0 1 0 0 0 -2.7521413337982854
33 0 1 0 1 0 0 0 -1.9457309172377983
34 0 1 0 1 0 0 0 -4.462180904926726
35 0 1 0 1 0 0 0 -4.462180904926726
36 0 1 0 1 0 0 0 -1.1152517994819895
37 0 1 0 1 0 0 0 -1.7731849596815425
38 0 1 0 1 0 0 0 -2.7899298723759705
39 0 1 0 1 0 0 0 -1.0759570758051689
40 0 1 0 1 0 0 0 -3.1283260910515565
41 0 1 0 1 0 0 0 -0.6740867738775266
42 1 0 0 1 0 0 0 3.6989700043360187
43 0 1 0 0 1 0 0 -1.851208554499889
44 0 1 0 1 0 0 0 -1.169348706332133
45 0 1 0 0 1 0 0 -0.6310194603106326
46 0 1 0 1 0 0 0 -1.5186051751878356
47 0 1 0 0 1 0 0 -0.6517708510118682
48 0 1 0 0 1 0 0 -0.6112145544937153
49 0 1 0 0 1 0 0 -0.2872545983254296
50 0 1 0 0 1 0 0 -0.7646240929902597
51 0 1 0 1 0 0 0 -1.7979038420448132
52 0 1 0 1 0 0 0 -2.746437392614383
53 0 1 0 0 1 0 0 -2.973424247784517
54 0 1 0 1 0 0 0 -4.462180904926726
55 0 1 0 1 0 0 0 -2.5558088496336016
56 0 1 0 0 1 0 0 -2.7303864325357248
57 0 1 0 0 1 0 0 -2.7973332610726
58 0 1 0 1 0 0 0 -2.762634741282292
59 0 1 0 1 0 0 0 -1.9391605272129597
60 0 1 0 1 0 0 0 -3.762634741282292
61 0 1 0 1 0 0 0 -3.566182180385687
62 0 1 0 1 0 0 0 0.3037798270604444
63 0 1 0 1 0 0 0 -2.1868280144989667
64 0 1 0 0 1 0 0 -3.9734258818496655
65 0 1 0 1 0 0 0 -3.3752446676343215
66 0 1 0 0 0 0 1 -2.4785743568294087
67 0 1 0 1 0 0 0 -2.410630105216664
68 0 1 0 1 0 0 0 -3.6100741221474917
69 0 1 0 1 0 0 0 -3.3032418344713745
70 0 1 0 1 0 0 0 -3.3032418344713745
71 0 1 0 1 0 0 0 -2.762634741282292
72 0 1 0 1 0 0 0 -2.9815978692654386
73 0 1 0 1 0 0 0 -4.462180904926726
74 0 1 0 0 1 0 0 -3.6425034782044388
75 0 1 0 0 0 0 1 -3.1283260910515565
76 0 1 0 0 1 0 0 -3.411131338559221
77 0 1 0 0 1 0 0 -1.9033865550131877
78 0 1 0 1 0 0 0 -2.2054870675161173
79 0 1 0 1 0 0 0 -2.5558088496336016
80 0 1 0 1 0 0 0 -0.7450347897257795
81 0 1 0 1 0 0 0 -1.994394370274338
82 0 1 0 0 1 0 0 -3.2744542434484982
83 0 1 0 1 0 0 0 -3.4536646629132393
84 0 1 0 1 0 0 0 -1.0416490258089108
85 0 1 0 0 1 0 0 -3.2744542434484982
86 0 1 0 1 0 0 0 -4.530177984021837
87 0 1 0 1 0 0 0 -2.41612762839599
88 0 1 0 1 0 0 0 -2.984483490898648
89 0 1 0 1 0 0 0 -3.0567711873802175
90 0 1 0 1 0 0 0 -3.5409590107455715
91 0 1 0 1 0 0 0 -3.762634741282292
92 0 1 0 1 0 0 0 -3.4359355009512984
93 0 1 0 1 0 0 0 -2.762634741282292
94 0 1 0 0 1 0 0 -2.088346033961015
95 0 1 0 1 0 0 0 -0.7360932456014078
96 0 1 0 0 1 0 0 -4.085656842880559
97 0 1 0 1 0 0 0 -3.5195963334088125
98 0 0 1 1 0 0 0 2.0
99 0 1 0 0 1 0 0 -2.0569704973027676
100 0 1 0 0 1 0 0 -2.690689071165773
101 0 1 0 0 1 0 0 -2.371364460714362
102 0 1 0 1 0 0 0 -3.3616075965219436
103 0 1 0 1 0 0 0 -2.3790311485641604
104 0 1 0 1 0 0 0 -1.9391605272129597
105 0 1 0 0 1 0 0 -3.299516946659568
106 0 1 0 1 0 0 0 -1.9473160211893847
107 0 1 0 0 1 0 0 -3.098362984392817
108 0 1 0 0 0 1 0 -2.2744544068547365
109 0 1 0 1 0 0 0 -3.3032418344713745
110 0 1 0 1 0 0 0 -2.762634741282292
111 0 1 0 1 0 0 0 -3.762634741282292
112 1 0 0 1 0 0 0 1.5440680443502757
113 0 1 0 0 1 0 0 -2.4785743568294087
114 0 1 0 0 1 0 0 -2.4785743568294087
115 0 1 0 0 1 0 0 -3.031416194762204
116 0 1 0 1 0 0 0 -3.0636647369462726
117 0 1 0 0 0 1 0 -0.7334704949541114
118 0 1 0 0 1 0 0 -3.6723938436052093
119 0 1 0 1 0 0 0 -0.682775334838715
120 0 1 0 1 0 0 0 -2.333273626819135
121 0 1 0 1 0 0 0 -3.1329528674278295
122 0 1 0 1 0 0 0 -2.9815978692654386
123 0 1 0 0 1 0 0 -3.098362984392817
124 0 1 0 1 0 0 0 -3.3752446676343215
125 0 1 0 0 1 0 0 -3.763908849943544
126 0 1 0 0 1 0 0 -2.889742702662272
127 0 1 0 1 0 0 0 -2.6227556913203514
128 0 1 0 0 1 0 0 -2.320211915571664
129 0 1 0 1 0 0 0 -4.530177984021837
130 0 1 0 0 1 0 0 -4.098541678603888
131 0 1 0 0 1 0 0 -2.2574210455589587
132 0 1 0 0 1 0 0 -3.4050410132002993
133 0 1 0 1 0 0 0 -3.3032418344713745
134 0 1 0 1 0 0 0 -4.462180904926726
135 0 1 0 1 0 0 0 -2.5558088496336016
136 0 1 0 1 0 0 0 -2.762634741282292
137 0 1 0 1 0 0 0 -3.3032418344713745
138 0 1 0 1 0 0 0 -2.762634741282292
139 0 1 0 1 0 0 0 -3.762634741282292
140 0 1 0 1 0 0 0 -2.9815978692654386
141 0 1 0 1 0 0 0 -3.3752446676343215
142 0 1 0 1 0 0 0 -2.859544754290348
143 0 1 0 1 0 0 0 -2.5883553817345106
144 0 1 0 1 0 0 0 -3.566182180385687
145 0 1 0 1 0 0 0 -4.462180904926726
146 0 1 0 1 0 0 0 -2.558514758626367
147 0 1 0 1 0 0 0 -4.462180904926726
148 0 1 0 1 0 0 0 -3.1283260910515565
149 0 1 0 1 0 0 0 -2.859544754290348
150 0 1 0 1 0 0 0 -3.5195963334088125
151 0 1 0 0 1 0 0 -3.759907750067233
152 0 1 0 1 0 0 0 -4.530177984021837
153 0 1 0 1 0 0 0 0.041515095519743646
154 0 1 0 0 1 0 0 -2.2532651000035475
155 0 1 0 1 0 0 0 -1.8118192585264408
156 0 1 0 1 0 0 0 -3.566182180385687
157 0 1 0 1 0 0 0 -4.462180904926726
158 0 1 0 0 1 0 0 -3.5754842391124795
159 0 1 0 0 1 0 0 -2.812056470937473
160 0 1 0 1 0 0 0 -2.746437392614383
161 0 1 0 0 1 0 0 -1.492699044356453
162 0 1 0 1 0 0 0 -2.2744544068547365
163 0 1 0 1 0 0 0 -1.5809026409624591
164 0 1 0 1 0 0 0 -0.7121272418670005
165 0 1 0 1 0 0 0 -2.5302926823534877
166 0 1 0 0 0 1 0 -3.530292829610867
167 0 0 1 1 0 0 0 -0.6989700043360187
168 0 1 0 1 0 0 0 -1.729211009076003
169 0 1 0 0 1 0 0 -2.4615410125027433
170 0 1 0 1 0 0 0 -1.3266897886871862
171 0 1 0 1 0 0 0 -1.442089861146117
172 0 1 0 1 0 0 0 -2.984483490898648
173 0 1 0 1 0 0 0 -2.558514758626367
174 0 1 0 1 0 0 0 -2.984483490898648
175 0 1 0 1 0 0 0 -0.6880480335696837
176 0 1 0 1 0 0 0 -4.462180904926726
