id met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 0 1 0 1 -10.323306390375134
1 1 0 1 0 -4.841637507904751
2 1 0 1 0 -6.068033885271827
3 1 0 1 0 -7.698970004336019
4 1 0 1 0 -8.0
5 1 0 1 0 -2.7417564900754847
6 0 1 0 1 -10.323306390375134
7 1 0 1 0 -5.0
8 0 1 0 1 -8.866461091629782
9 0 1 0 1 -8.866461091629782
10 0 1 0 1 -8.247951552180561
11 0 1 0 1 -10.61798295742513
12 0 1 0 1 -9.045275209020938
13 0 1 0 1 -7.064996848546345
14 0 1 1 0 -7.251811972993799
15 1 0 1 0 -2.1694113313148558
