id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -2.3289521854189488 0
1 1 0 0 0 0 1 0 0 0 -2.001373236475496 0
2 1 0 0 0 0 1 0 0 0 -2.228671556381563 0
3 1 0 0 0 0 1 0 0 0 -2.3712032290698377 0
4 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
5 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
6 1 0 0 0 0 1 0 0 0 -2.1306611870648426 0
7 1 0 0 0 0 1 0 0 0 -1.4468419279107108 0
8 1 0 0 0 0 1 0 0 0 -1.5128818543460565 0
9 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
10 1 0 0 0 0 1 0 0 0 -2.392291122760822 0
11 1 0 0 0 0 1 0 0 0 -4.603800652904264 0
12 1 0 0 0 0 1 0 0 0 -4.180456064458132 0
13 1 0 0 0 0 1 0 0 0 -3.2591724694538073 0
14 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
15 1 0 0 0 0 1 0 0 0 -4.657577319177793 0
16 1 0 0 0 0 1 0 0 0 -3.75907402741743 0
17 1 0 0 0 0 1 0 0 0 -4.1904402853647325 0
18 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
19 1 0 0 0 0 1 0 0 0 -4.283162276700476 0
20 1 0 0 0 0 1 0 0 0 -4.616184634019569 0
21 1 0 0 0 0 1 0 0 0 -5.213248577854439 0
22 1 0 0 0 0 1 0 0 0 -4.394694953858891 0
23 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
24 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
25 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
26 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
27 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
28 1 0 0 0 0 1 0 0 0 -2.4640283775055027 0
29 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
30 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
31 1 0 0 0 0 1 0 0 0 -2.813708321529019 0
32 1 0 0 0 0 1 0 0 0 -2.7924520693142263 0
33 1 0 0 0 0 1 0 0 0 -2.69292669564288 0
34 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
35 1 0 0 0 0 1 0 0 0 -2.6546139172227323 0
36 1 0 0 0 0 1 0 0 0 -1.8456359861839247 0
37 1 0 0 0 0 1 0 0 0 -1.7523709686613045 0
38 1 0 0 0 0 1 0 0 0 -5.073143291050307 0
39 1 0 0 0 0 1 0 0 0 -2.398241296378829 0
40 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
41 1 0 0 0 0 1 0 0 0 -1.4259889981343572 1
42 1 0 0 0 0 1 0 0 0 -4.11690664142431 0
43 1 0 0 0 0 1 0 0 0 -4.324221658325915 0
44 1 0 0 0 0 1 0 0 0 -4.0195421077238995 0
45 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
46 1 0 0 0 0 1 0 0 0 -4.801342913045577 0
47 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
48 1 0 0 0 0 1 0 0 0 -6.133122185662502 0
49 1 0 0 0 0 1 0 0 0 -3.976903996889177 0
50 1 0 0 0 0 1 0 0 0 -3.001329236045451 0
51 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
52 1 0 0 0 0 1 0 0 0 -3.135286651271706 0
53 1 0 0 0 0 1 0 0 0 -4.102922996790579 0
54 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
55 1 0 0 0 0 1 0 0 0 -5.292429823902063 0
56 1 0 0 0 0 1 0 0 0 -3.4180423813399257 0
57 1 0 0 0 0 1 0 0 0 -1.4500163888403113 0
58 1 0 0 0 0 1 0 0 0 -4.777283528852417 0
59 1 0 0 0 0 1 0 0 0 -4.600326278518962 0
60 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
61 1 0 0 0 0 1 0 0 0 -3.2892118169285327 0
62 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
63 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
64 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
65 1 0 0 0 0 1 0 0 0 -3.7264616930744148 0
66 1 0 0 0 0 1 0 0 0 -4.777283528852417 0
67 1 0 0 0 0 1 0 0 0 -5.170696227168975 0
68 1 0 0 0 0 1 0 0 0 -5.175223537524454 0
69 1 0 0 0 0 1 0 0 0 -4.205511953340831 0
70 1 0 0 0 0 1 0 0 0 -4.440093374963888 0
71 1 0 0 0 0 1 0 0 0 -4.913640169325252 0
72 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
73 1 0 0 0 0 1 0 0 0 -3.8112711408050375 0
74 1 0 0 0 0 1 0 0 0 -1.9589147461973329 0
75 1 0 0 0 0 1 0 0 0 -5.0589857562944305 0
76 1 0 0 0 0 1 0 0 0 -5.459670525209126 0
77 1 0 0 0 0 1 0 0 0 -5.321481620959886 0
78 1 0 0 0 0 1 0 0 0 -4.632644078973981 0
79 1 0 0 0 0 1 0 0 0 -3.6909620688756934 0
80 1 0 0 0 0 1 0 0 0 -5.292429823902063 0
81 1 0 0 0 0 1 0 0 0 -5.196542884351586 0
82 1 0 0 0 0 1 0 0 0 -5.006563769502388 0
83 1 0 0 0 0 1 0 0 0 -4.869666231504994 0
84 1 0 0 0 0 1 0 0 0 -5.278189384787454 0
85 1 0 0 0 0 1 0 0 0 -3.5497909348618406 0
86 1 0 0 0 0 1 0 0 0 -3.393412286541245 0
87 1 0 0 0 0 1 0 0 0 -2.7587494584242336 0
88 1 0 0 0 0 1 0 0 0 -4.663540266151471 0
89 1 0 0 0 0 1 0 0 0 -4.403402904373539 0
90 1 0 0 0 0 1 0 0 0 -4.872895201635193 0
91 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
92 1 0 0 0 0 1 0 0 0 -4.220403508742176 0
93 1 0 0 0 0 0 0 1 0 -7.552841968657781 0
94 1 0 0 0 0 1 0 0 0 -0.5726156569199612 0
95 1 0 0 0 0 1 0 0 0 -0.2166141389193491 0
96 1 0 0 0 0 1 0 0 0 -1.137749325402075 0
97 1 0 0 0 0 1 0 0 0 -0.42219554946870064 0
98 1 0 0 0 0 1 0 0 0 0.3011850732073501 0
99 1 0 0 0 0 1 0 0 0 -5.448550002027125 0
100 0 0 1 0 0 0 0 1 0 -15.022276394711152 0
101 1 0 0 0 0 1 0 0 0 -6.069560405233299 0
102 1 0 0 0 0 0 0 1 0 -8.580044251510243 0
103 1 0 0 0 0 0 0 1 0 -6.440093374963888 0
104 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
105 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
106 1 0 0 0 0 1 0 0 0 -6.2716462179787715 0
107 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
108 1 0 0 0 0 1 0 0 0 -1.1334805142806297 0
