id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
1 1 0 0 0 1 0 0 0 0 -4.366531544420414 0
2 1 0 0 0 0 0 0 0 1 -3.7175138378138923 0
3 1 0 0 0 0 0 0 0 1 -3.926571275861279 0
4 1 0 0 0 0 0 0 0 1 -3.5762938540155886 0
5 1 0 0 0 0 0 0 0 1 -3.9027704638233707 0
6 1 0 0 0 0 0 0 0 1 -3.211596155146058 0
7 1 0 0 0 1 0 0 0 0 -3.7004578371108487 0
8 1 0 0 0 1 0 0 0 0 -3.7371456545838067 0
9 1 0 0 0 1 0 0 0 0 -4.8996294548824375 0
10 1 0 0 0 1 0 0 0 0 -4.100179497572904 0
11 1 0 0 0 0 0 0 0 1 -3.6075492753439677 0
12 1 0 0 0 0 0 0 0 1 -3.3319581136658005 0
13 1 0 0 0 1 0 0 0 0 -4.404503778174426 0
14 1 0 0 0 1 0 0 0 0 -3.6614757776750904 0
15 1 0 0 0 0 0 0 0 1 -3.6075492753439677 0
16 1 0 0 0 0 0 0 0 1 -3.3819403920204634 0
17 1 0 0 0 0 0 0 0 1 -3.4254143474458436 0
18 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
19 1 0 0 0 1 0 0 0 0 -3.8954702124745406 1
20 1 0 0 0 1 0 0 0 0 -3.9187571370921104 0
21 1 0 0 0 0 0 0 0 1 -3.2906477683703725 0
22 1 0 0 0 1 0 0 0 0 -5.151810883008602 0
23 1 0 0 0 1 0 0 0 0 -4.54515513999149 0
24 1 0 0 0 0 0 0 0 1 -3.7700674294871144 0
25 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
26 1 0 0 0 1 0 0 0 0 -2.2985631865042766 0
27 0 0 0 1 0 0 0 0 1 1.4771212547196624 0
28 0 0 0 1 0 0 0 0 1 1.534026106056135 0
29 1 0 0 0 1 0 0 0 0 -2.2985631865042766 0
30 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
31 1 0 0 0 0 0 0 0 1 -4.063486257521107 0
32 1 0 0 0 1 0 0 0 0 -2.7249412317621022 0
33 1 0 0 0 0 0 0 0 1 -4.014124642691606 0
34 1 0 0 0 0 0 0 0 1 -3.5762938540155886 0
35 1 0 0 0 1 0 0 0 0 -2.639608635263696 0
36 1 0 0 0 1 0 0 0 0 -4.095284454721319 0
37 1 0 0 0 1 0 0 0 0 -3.4782475365932357 0
