id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.590066876668706 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.0 0
3 0 0 1 0 1 0 0 -4.841637507904751 0
4 0 0 1 0 1 0 0 -4.166215625343521 0
5 0 0 0 1 0 0 1 -9.621602099051863 0
6 0 0 0 1 0 0 1 -9.290730039024169 0
7 1 0 0 0 1 0 0 1.3010299956639813 0
8 1 0 0 0 1 0 0 1.7075701760979363 0
9 1 0 0 0 1 0 0 -1.7958800173440752 0
10 0 0 1 0 1 0 0 -5.809668301829708 0
11 0 0 1 0 1 0 0 -4.649751981665837 0
12 0 0 1 0 1 0 0 -3.913640169325252 0
13 1 0 0 0 1 0 0 0.9030899869919435 0
14 0 0 1 0 1 0 0 -5.0 0
15 1 0 0 0 1 0 0 1.7853298350107671 0
16 0 0 1 0 1 0 0 -5.164309428507575 0
17 0 0 0 1 0 0 1 -10.438898616350944 0
18 1 0 0 0 1 0 0 2.416640507338281 0
19 1 0 0 0 1 0 0 2.3010299956639813 0
20 1 0 0 0 1 0 0 3.322219294733919 0
21 1 0 0 0 1 0 0 2.27415784926368 0
22 0 0 0 1 0 0 1 -9.0 0
23 0 0 0 1 0 0 1 -9.116338564846382 0
24 0 0 1 0 1 0 0 -6.497572880015567 0
25 0 0 0 1 0 0 1 -10.08460016478773 0
26 0 0 0 1 0 0 1 -10.08460016478773 0
27 0 0 0 1 0 0 1 -10.323306390375134 0
28 0 0 1 0 1 0 0 -7.698970004336019 0
29 0 0 1 0 1 0 0 -8.0 0
30 0 0 1 0 1 0 0 -5.723538195826756 0
31 0 0 1 0 1 0 0 -8.0 0
32 0 0 1 0 1 0 0 -6.308034897232639 0
33 0 0 1 0 1 0 0 -6.068033885271827 0
34 0 0 1 0 1 0 0 -6.6020599913279625 0
35 0 0 1 0 1 0 0 -2.7423214251308154 0
36 0 0 0 1 0 0 1 -9.146301788223825 0
37 0 0 0 1 0 0 1 -8.866461091629782 0
38 0 0 0 1 0 0 1 -9.707743928643524 0
39 0 0 0 1 0 0 1 -8.247951552180561 0
40 0 0 0 1 0 0 1 -9.045275209020938 0
41 0 0 0 1 0 0 1 -7.064996848546345 0
42 0 0 0 1 0 0 1 -8.44490555142168 0
43 0 0 0 1 0 0 1 -9.19586056766465 0
44 0 0 0 1 0 0 1 -8.954677021213342 0
45 0 0 0 1 0 0 1 -9.059483515067432 0
46 0 0 0 1 0 0 1 -8.410050398674292 0
47 0 1 0 0 0 1 0 -10.590066876668706 1
48 1 0 0 0 0 0 1 -1.6968039425795112 0
