id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_detritus met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving mov_swimming log_mass mass_missing
0 0 1 0 0 0 0 1 0 0 0 -9.429457060118102 0
1 1 0 0 0 0 1 0 0 0 0 -4.081445469449727 0
2 1 0 0 0 0 1 0 0 0 0 -4.285670240254767 0
3 1 0 0 0 0 1 0 0 0 0 -4.175874166083451 0
4 1 0 0 0 0 1 0 0 0 0 -3.5057716378637975 0
5 1 0 0 0 0 1 0 0 0 0 -4.351639989019068 0
6 1 0 0 0 0 1 0 0 0 0 -4.036212172654444 0
7 1 0 0 0 0 1 0 0 0 0 -4.882728704344236 0
8 1 0 0 0 0 1 0 0 0 0 -4.200659450546418 0
9 1 0 0 0 0 1 0 0 0 0 -4.761953896871205 0
10 1 0 0 0 0 0 1 0 0 0 -2.8696137976329377 0
11 1 0 0 0 0 1 0 0 0 0 -3.8977001023295994 0
12 1 0 0 0 0 1 0 0 0 0 -4.301029995663981 0
13 1 0 0 0 0 0 1 0 0 0 -4.97061622231479 0
14 1 0 0 0 0 0 1 0 0 0 -5.373659632624958 0
15 1 0 0 0 0 1 0 0 0 0 -4.61261017366127 0
16 0 1 0 0 0 0 1 0 0 0 -10.121478204498793 0
17 0 1 0 0 0 0 1 0 0 0 -9.679853713888946 0
18 0 1 0 0 0 0 1 0 0 0 -9.87942606879415 0
19 0 1 0 0 0 0 1 0 0 0 -10.007446482167865 0
20 0 1 0 0 0 0 1 0 0 0 -10.645891560852599 0
21 0 1 0 0 0 0 1 0 0 0 -9.350665141287857 0
22 0 1 0 0 0 0 1 0 0 0 -10.723538195826755 0
23 0 0 1 0 0 0 0 1 0 0 -10.950781977329818 1
24 0 0 0 1 0 0 0 0 1 0 -10.950781977329818 1
25 1 0 0 0 0 1 0 0 0 0 -3.437849940767118 0
26 0 1 0 0 0 0 1 0 0 0 -8.667561540084394 0
27 0 1 0 0 0 0 1 0 0 0 -8.446116973356126 0
28 0 1 0 0 0 0 1 0 0 0 -9.025488307262671 0
29 1 0 0 0 0 1 0 0 0 0 -4.435333935747911 0
30 1 0 0 0 0 0 0 0 0 1 -3.8319859896600668 0
31 0 1 0 0 0 0 1 0 0 0 -10.208309350979881 0
32 0 1 0 0 0 0 1 0 0 0 -9.2580609222708 0
33 0 0 0 1 0 0 0 0 1 0 -10.950781977329818 1
34 0 1 0 0 0 0 1 0 0 0 -9.752026733638193 0
35 0 1 0 0 0 0 1 0 0 0 -10.202732459169283 0
36 0 0 0 0 1 0 1 0 0 0 -10.950781977329818 1
37 0 1 0 0 0 0 1 0 0 0 -10.158015195409886 0
38 0 1 0 0 0 0 1 0 0 0 -9.950781977329818 0
39 0 1 0 0 0 0 1 0 0 0 -10.950781977329818 0
40 0 1 0 0 0 0 1 0 0 0 -9.365522729839268 0
41 0 1 0 0 0 0 1 0 0 0 -8.494850021680094 0
42 0 1 0 0 0 0 1 0 0 0 -9.607303046740334 0
43 0 1 0 0 0 0 1 0 0 0 -10.358525889495901 0
44 0 1 0 0 0 0 1 0 0 0 -10.453457336521868 0
45 0 1 0 0 0 0 1 0 0 0 -9.349692476868064 0
46 0 1 0 0 0 0 1 0 0 0 -9.838631997765026 0
47 0 1 0 0 0 0 1 0 0 0 -9.779891911959945 0
48 0 1 0 0 0 0 1 0 0 0 -10.187086643357144 0
49 0 1 0 0 0 0 1 0 0 0 -10.368556230986828 0
50 0 1 0 0 0 0 1 0 0 0 -10.818156412055227 0
51 0 1 0 0 0 0 1 0 0 0 -10.363512103646634 0
52 0 1 0 0 0 0 1 0 0 0 -10.528708288941061 0
53 0 1 0 0 0 0 1 0 0 0 -10.51427857351842 0
54 0 1 0 0 0 0 1 0 0 0 -8.924453038607469 0
55 0 1 0 0 0 0 1 0 0 0 -9.869666231504993 0
56 0 1 0 0 0 0 1 0 0 0 -8.301029995663981 0
57 0 0 0 1 0 0 0 0 1 0 -10.950781977329818 1
58 1 0 0 0 0 0 0 0 0 1 -3.1792154925800618 0
