id met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 0 1 0 1 -9.290730039024169
1 1 0 1 0 -4.995678626217358
2 1 0 1 0 -4.841637507904751
3 1 0 1 0 -4.166215625343521
4 1 0 1 0 -5.809668301829708
5 1 0 1 0 -5.0
6 1 0 1 0 -2.1694113313148558
7 0 1 1 0 -7.7594507517174005
8 1 0 1 0 -4.493494967595128
9 1 0 1 0 -5.73754891026957
10 1 0 1 0 -6.068033885271827
11 1 0 1 0 -7.698970004336019
12 1 0 1 0 -8.0
13 1 0 1 0 -6.068033885271827
14 1 0 1 0 -4.863279432843593
15 1 0 1 0 -5.910094888560602
16 1 0 1 0 -2.7423214251308154
17 0 1 0 1 -10.8153085691824
18 0 1 0 1 -10.323306390375134
19 0 1 0 1 -10.323306390375134
20 0 1 0 1 -8.866461091629782
21 0 1 0 1 -8.866461091629782
22 0 1 0 1 -8.247951552180561
23 0 1 0 1 -10.61798295742513
24 0 1 0 1 -9.328827157284916
25 0 1 0 1 -9.045275209020938
26 0 1 0 1 -7.064996848546345
27 0 1 1 0 -7.251811972993799
28 0 1 1 0 -7.251811972993799
29 0 1 0 1 -9.79317412396815
30 0 1 0 1 -9.19586056766465
31 0 1 0 1 -8.954677021213342
32 0 1 0 1 -8.97061622231479
33 0 1 0 1 -8.97061622231479
34 0 1 0 1 -9.153662887870194
