id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_sessile mov_walking mov_other log_mass
0 1 0 0 0 0 1 0 -0.920818753952375
1 1 0 0 0 1 0 0 -0.13076828026902387
2 0 1 0 1 0 0 0 -0.7695510786217261
3 0 1 0 1 0 0 0 0.6364878963533654
4 1 0 0 1 0 0 0 -2.0
5 1 0 0 1 0 0 0 -0.15490195998574327
6 1 0 0 1 0 0 0 -1.0457574905606752
7 1 0 0 0 0 1 0 0.1931245983544616
8 1 0 0 0 1 0 0 1.5149460053080044
9 0 0 1 0 1 0 0 -3.642065152999546
10 1 0 0 0 0 1 0 -2.3979400086720375
11 1 0 0 1 0 0 0 -2.0
12 1 0 0 0 0 1 0 -2.0
13 1 0 0 1 0 0 0 -2.0
14 1 0 0 0 0 1 0 -0.585026652029182
15 1 0 0 1 0 0 0 -2.0
16 1 0 0 0 0 1 0 -2.0
17 1 0 0 0 0 1 0 -3.154901959985743
18 1 0 0 0 0 1 0 -2.3010299956639813
19 1 0 0 0 0 1 0 -2.3979400086720375
20 1 0 0 0 0 1 0 0.6857417386022636
21 1 0 0 0 0 1 0 -0.3010299956639812
22 1 0 0 0 0 1 0 -2.5228787452803374
23 1 0 0 0 0 1 0 -1.154901959985743
24 1 0 0 1 0 0 0 -2.0
25 1 0 0 0 0 1 0 -1.7212463990471711
26 1 0 0 0 0 1 0 -2.0
27 0 0 1 0 1 0 0 -3.642065152999546
28 0 0 1 0 1 0 0 -3.642065152999546
29 0 0 1 0 1 0 0 -3.642065152999546
30 1 0 0 0 0 1 0 -2.0
31 0 0 1 0 1 0 0 -3.642065152999546
32 1 0 0 0 0 1 0 -0.7695510786217261
33 0 0 1 0 1 0 0 -3.642065152999546
34 1 0 0 0 1 0 0 -2.0969100130080562
35 1 0 0 0 0 1 0 -2.677780705266081
36 1 0 0 0 1 0 0 -0.7958800173440752
37 1 0 0 0 0 1 0 -2.0
38 1 0 0 0 0 1 0 -2.0
39 0 0 1 0 0 0 1 -4.0
40 1 0 0 0 1 0 0 -2.795880017344075
41 1 0 0 0 1 0 0 -2.221848749616356
42 1 0 0 1 0 0 0 -3.0
43 1 0 0 0 0 1 0 -1.853871964321762
44 0 0 1 0 1 0 0 -3.642065152999546
45 0 0 1 0 1 0 0 -3.642065152999546
46 0 0 1 0 1 0 0 -3.642065152999546
