id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 1 0 0 0 1 0 0 -1.5228787452803374
1 1 0 0 0 0 1 0 -0.01772876696043155
2 1 0 0 0 0 1 0 -0.8860566476931633
3 0 1 0 1 0 0 0 -0.36653154442041347
4 0 1 0 1 0 0 0 -0.5228787452803376
5 1 0 0 0 1 0 0 -0.42021640338318983
6 1 0 0 1 0 0 0 -2.0
7 1 0 0 1 0 0 0 -1.0969100130080562
8 0 0 1 0 0 1 0 -3.642065152999546
9 1 0 0 0 1 0 0 -2.6989700043360187
10 1 0 0 0 1 0 0 -0.2676062401770315
11 1 0 0 0 1 0 0 -2.0
12 1 0 0 1 0 0 0 -3.0
13 1 0 0 0 1 0 0 -1.2006594505464185
14 1 0 0 0 1 0 0 -2.958607314841775
15 1 0 0 0 1 0 0 -3.0
16 1 0 0 0 1 0 0 -2.3010299956639813
17 1 0 0 0 1 0 0 -0.3010299956639812
18 1 0 0 0 1 0 0 0.4712917110589386
19 1 0 0 0 1 0 0 -2.6989700043360187
20 1 0 0 1 0 0 0 -2.0
21 1 0 0 0 1 0 0 -2.494850021680094
22 0 0 1 0 0 1 0 -3.642065152999546
23 1 0 0 0 0 1 0 -2.3979400086720375
24 1 0 0 0 1 0 0 -2.065501548756432
25 0 0 1 0 0 1 0 -3.642065152999546
26 0 0 1 0 0 1 0 -3.642065152999546
27 0 0 1 0 0 1 0 -3.642065152999546
28 1 0 0 0 0 1 0 1.335858911319818
29 1 0 0 0 1 0 0 -2.0
30 0 0 1 0 0 1 0 -3.642065152999546
31 1 0 0 0 0 1 0 -2.3979400086720375
32 1 0 0 0 1 0 0 -2.065501548756432
33 1 0 0 0 0 1 0 -0.06550154875643228
34 0 0 1 0 0 0 1 -4.0
35 1 0 0 1 0 0 0 -3.0
36 1 0 0 0 1 0 0 -2.0
37 0 0 1 0 0 1 0 -3.642065152999546
38 0 0 1 0 0 1 0 -3.642065152999546
