id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_swimming mov_sessile mov_other log_mass
0 1 0 0 1 0 0 0 -0.9208187539523751
1 1 0 0 0 0 1 0 0.6766936096248666
2 0 1 0 0 1 0 0 -0.0915149811213504
3 0 1 0 0 1 0 0 -2.0
4 0 1 0 0 1 0 0 -0.12493873660829993
5 0 1 0 0 1 0 0 -0.9586073148417751
6 1 0 0 1 0 0 0 0.13033376849500622
7 1 0 0 0 1 0 0 -2.259637310505756
8 1 0 0 0 0 1 0 -0.5686362358410129
9 1 0 0 0 1 0 0 -1.0457574905606752
10 1 0 0 0 1 0 0 -2.0
11 1 0 0 1 0 0 0 -1.4559319556497243
12 1 0 0 1 0 0 0 -2.657577319177794
13 0 0 1 0 0 1 0 -3.642065152999546
14 1 0 0 0 1 0 0 -2.0
15 1 0 0 1 0 0 0 -0.494850021680094
16 1 0 0 0 1 0 0 -2.0
17 1 0 0 1 0 0 0 -2.0
18 1 0 0 1 0 0 0 -2.0
19 1 0 0 1 0 0 0 -2.2291479883578558
20 1 0 0 1 0 0 0 -2.0
21 1 0 0 1 0 0 0 0.9858753573083937
22 1 0 0 1 0 0 0 0.12710479836480765
23 1 0 0 1 0 0 0 -0.13667713987954397
24 1 0 0 1 0 0 0 -2.468521082957745
25 1 0 0 1 0 0 0 -2.0
26 1 0 0 0 1 0 0 -2.0
27 1 0 0 1 0 0 0 -2.0969100130080562
28 1 0 0 1 0 0 0 -2.0
29 0 0 1 0 0 1 0 -3.642065152999546
30 0 0 1 0 0 1 0 -3.642065152999546
31 0 0 1 0 0 1 0 -3.642065152999546
32 1 0 0 0 1 0 0 -3.0
33 1 0 0 0 0 1 0 1.4393326938302626
34 1 0 0 1 0 0 0 -0.6777807052660807
35 0 0 1 0 0 1 0 -3.642065152999546
36 0 0 1 0 0 1 0 -3.642065152999546
37 0 0 1 0 0 1 0 -3.642065152999546
38 0 0 1 0 0 1 0 -3.642065152999546
39 0 0 1 0 0 1 0 -3.642065152999546
40 1 0 0 1 0 0 0 -2.214670164989233
41 0 0 1 0 0 1 0 -3.642065152999546
42 1 0 0 0 0 1 0 -2.0
43 1 0 0 0 0 1 1 -0.22184874961635637
44 1 0 0 1 0 0 0 -2.0
45 1 0 0 1 0 0 0 -2.2291479883578558
46 0 0 1 0 0 0 1 -4.0
47 1 0 0 1 0 0 0 -2.136677139879544
48 1 0 0 0 0 1 0 -2.6020599913279625
49 1 0 0 0 1 0 0 -3.0
50 1 0 0 1 0 0 0 -2.0
51 0 0 1 0 0 1 0 -3.642065152999546
52 0 0 1 0 0 1 0 -3.642065152999546
53 1 0 0 0 0 1 0 0.6242820958356683
