id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 0 1 0 0 1 0 0 -1.154901959985743
1 0 1 0 0 0 1 0 0.617000341120899
2 0 1 0 0 0 1 0 1.146128035678238
3 1 0 0 1 0 0 0 -0.22914798835785583
4 0 1 0 1 0 0 0 -2.0
5 0 1 0 0 0 1 0 -2.0
6 1 0 0 1 0 0 0 -2.0
7 0 0 1 0 0 1 0 -3.642065152999546
8 0 1 0 0 1 0 0 -2.853871964321762
9 0 1 0 0 1 0 0 -0.34678748622465627
10 0 1 0 0 1 0 0 -2.0
11 0 1 0 1 0 0 0 -2.0
12 0 1 0 0 1 0 0 -3.2218487496163566
13 0 1 0 0 1 0 0 -2.853871964321762
14 0 1 0 0 1 0 0 0.8739015978644615
15 0 1 0 0 1 0 0 0.3283796034387376
16 0 1 0 0 1 0 0 -2.5850266520291822
17 0 1 0 0 1 0 0 -2.0
18 0 1 0 0 1 0 0 -2.0
19 0 1 0 0 1 0 0 -2.0861861476162833
20 0 1 0 0 1 0 0 -2.4814860601221125
21 0 0 1 0 0 1 0 -3.642065152999546
22 0 1 0 1 0 0 0 -3.0
23 0 0 1 0 0 1 0 -3.642065152999546
24 0 1 0 0 0 1 0 1.1760912590556813
25 0 1 0 0 1 0 0 -0.5228787452803376
26 0 0 1 0 0 1 0 -3.642065152999546
27 0 0 1 0 0 1 0 -3.642065152999546
28 0 0 1 0 0 1 0 -3.642065152999546
29 0 0 1 0 0 1 0 -3.642065152999546
30 0 1 0 0 1 0 0 -2.0
31 0 0 1 0 0 1 0 -3.642065152999546
32 0 1 0 0 0 1 0 -2.0969100130080562
33 0 1 0 0 1 0 0 -1.3979400086720375
34 0 1 0 0 1 0 0 -1.3979400086720375
35 0 1 0 0 0 1 0 -0.026872146400301365
36 0 1 0 0 1 0 0 -2.0
37 0 1 0 0 1 0 0 -2.0
38 0 1 0 0 1 0 0 -2.8239087409443187
39 0 1 0 0 1 0 0 -2.0
40 0 0 1 0 0 0 1 -4.0
41 0 1 0 0 1 0 0 -2.0
42 0 1 0 0 0 1 0 -2.4814860601221125
43 0 1 0 0 1 0 0 -3.0457574905606752
44 0 1 0 1 0 0 0 -3.0
45 0 0 1 0 0 1 0 -3.642065152999546
46 0 0 1 0 0 1 0 -3.642065152999546
47 0 0 1 0 0 1 0 -3.642065152999546
48 0 1 0 0 0 1 0 -1.0969100130080565
49 0 1 0 0 0 1 0 1.255272505103306
