id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.438898616350944 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -4.236572006437063 0
3 0 0 1 0 1 0 0 -5.0 0
4 0 0 1 0 1 0 0 -4.995678626217358 0
5 0 0 1 0 1 0 0 -4.841637507904751 0
6 0 0 1 0 1 0 0 -5.2373214362725635 0
7 0 0 1 0 1 0 0 -4.166215625343521 0
8 1 0 0 0 1 0 0 0.5314789170422551 0
9 1 0 0 0 1 0 0 2.4947110252052624 0
10 0 0 0 1 0 0 1 -10.08460016478773 0
11 0 0 0 1 0 0 1 -10.323306390375134 0
12 0 0 1 0 1 0 0 -5.809668301829708 0
13 0 0 1 0 1 0 0 -5.0 0
14 0 0 1 0 1 0 0 -6.068033885271827 0
15 0 0 1 0 1 0 0 -8.0 0
16 0 0 1 0 1 0 0 -6.068033885271827 0
17 0 0 1 0 1 0 0 -2.7417564900754847 0
18 0 0 1 0 1 0 0 -5.0 0
19 1 0 0 0 1 0 0 1.5563025007672873 0
20 0 0 1 0 1 0 0 -5.164309428507575 0
21 1 0 0 0 1 0 0 -1.7958800173440752 0
22 0 0 0 1 0 0 1 -9.707743928643524 0
23 0 0 0 1 0 0 1 -8.247951552180561 0
24 0 0 0 1 0 0 1 -10.61798295742513 0
25 0 0 0 1 0 0 1 -7.064996848546345 0
26 0 0 0 1 0 0 1 -9.19586056766465 0
27 0 0 0 1 0 0 1 -8.954677021213342 0
28 0 1 0 0 0 1 0 -11.45717457304082 1
29 1 0 0 0 0 0 1 -1.6968039425795112 0
30 0 0 0 1 1 0 0 -11.45717457304082 0
