id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 1 0 0 0 1 0 0 0 -3.96724428474963 0
1 0 0 0 1 0 0 0 1 1.9336475591997504 0
2 0 1 0 0 0 1 0 0 -9.500312917381596 1
3 1 0 0 0 1 0 0 0 -3.710549294601997 0
4 1 0 0 0 1 0 0 0 -2.7842038674101666 0
5 1 0 0 0 1 0 0 0 -3.280155984722159 0
6 1 0 0 0 1 0 0 0 -3.1535558740681213 0
7 1 0 0 0 1 0 0 0 -2.6752943652805428 0
8 1 0 0 0 1 0 0 0 -3.30410086600939 0
9 1 0 0 0 1 0 0 0 -3.3218532519287467 0
10 0 0 1 0 0 0 1 0 -9.414539270491499 0
11 1 0 0 0 1 0 0 0 -3.6168365648128473 0
12 0 0 1 0 0 0 1 0 -8.832682665251824 0
13 0 0 1 0 0 0 1 0 -9.500312917381596 0
14 0 0 1 0 0 0 1 0 -9.14086170270547 0
15 0 1 0 0 0 1 0 0 -9.500312917381596 1
16 0 0 1 0 0 0 1 0 -8.896196279044043 0
17 1 0 0 0 1 0 0 0 -3.412829152735715 0
18 0 0 1 0 0 0 1 0 -9.250263684430939 0
19 0 0 1 0 0 0 1 0 -7.651695136951839 0
20 0 0 1 0 0 0 1 0 -9.040481623027002 0
