id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 1 0 -8.08039897621589 0
1 1 0 0 0 1 0 0 0 -2.8941564731533904 0
2 1 0 0 0 1 0 0 0 -4.100179497572904 0
3 1 0 0 0 1 0 0 0 -3.466057713247759 0
4 1 0 0 0 1 0 0 0 -3.449324126105109 0
5 1 0 0 0 1 0 0 0 -3.220635146133865 0
6 0 0 1 0 0 0 1 0 -9.258848401148216 0
7 0 1 0 0 0 1 0 0 -9.515700160653214 1
8 1 0 0 0 1 0 0 0 -3.7345877893074473 0
9 0 0 0 1 0 0 0 1 0.977893531403672 0
10 1 0 0 0 1 0 0 0 -2.550442925812901 0
11 1 0 0 0 1 0 0 0 -2.9836478677535156 0
12 0 0 1 0 0 0 1 0 -9.512861624522813 0
13 0 0 1 0 0 0 1 0 -8.821023052706831 0
14 0 0 1 0 0 0 1 0 -8.785156151952302 0
15 0 0 1 0 0 0 1 0 -9.515700160653214 0
16 0 0 1 0 0 0 1 0 -9.115204636051018 0
17 0 1 0 0 0 1 0 0 -9.515700160653214 1
18 0 0 1 0 0 0 1 0 -9.0 0
19 0 0 1 0 0 0 1 0 -9.168130225719498 0
20 0 0 1 0 0 0 1 0 -8.036212172654444 0
