id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -9.290730039024169 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -4.236572006437063 0
3 0 0 1 0 1 0 0 -4.841637507904751 0
4 0 0 0 1 0 0 1 -10.323306390375134 0
5 0 0 1 0 1 0 0 -6.068033885271827 0
6 0 0 1 0 1 0 0 -7.698970004336019 0
7 0 0 1 0 1 0 0 -5.723538195826756 0
8 0 0 1 0 1 0 0 -8.0 0
9 0 0 1 0 1 0 0 -5.863279432843593 0
10 0 0 1 0 1 0 0 -6.127261172527331 0
11 0 0 1 0 1 0 0 -2.7417564900754847 0
12 0 0 0 1 0 0 1 -10.323306390375134 0
13 0 0 1 0 1 0 0 -5.0 0
14 0 0 0 1 0 0 1 -8.866461091629782 0
15 0 0 0 1 0 0 1 -8.866461091629782 0
16 0 0 0 1 0 0 1 -8.866461091629782 0
17 0 0 0 1 0 0 1 -8.027334407733889 0
18 0 0 0 1 0 0 1 -9.250263684430939 0
19 0 0 0 1 0 0 1 -8.247951552180561 0
20 0 0 0 1 0 0 1 -9.236572006437063 0
21 0 0 0 1 0 0 1 -10.61798295742513 0
22 0 0 0 1 0 0 1 -7.064996848546345 0
23 0 0 0 1 1 0 0 -7.251811972993799 0
24 0 0 0 1 0 0 1 -8.954677021213342 0
25 0 0 0 1 0 0 1 -8.410050398674292 0
26 0 0 0 1 1 0 0 -9.79317412396815 0
27 0 0 0 1 1 0 0 -9.79317412396815 0
28 0 1 0 0 0 1 0 -10.61798295742513 1
29 1 0 0 0 1 0 0 0.8864907251724818 0
