id met_ectotherm_vertebrate met_primary_producer met_invertebrate mov_swimming mov_sessile mov_walking mov_other log_mass
0 0 0 1 1 0 0 0 -2.638272163982407
1 0 0 1 0 1 0 0 -0.431798275933005
2 0 0 1 0 0 1 0 -2.0
3 1 0 0 1 0 0 0 0.008600171761917567
4 0 0 1 0 1 0 0 -2.0
5 0 1 0 0 1 0 0 -3.642065152999546
6 0 0 1 0 0 1 0 -3.6989700043360187
7 0 0 1 1 0 0 0 -3.0969100130080562
8 0 0 1 0 0 1 0 -2.0
9 0 1 0 0 1 0 0 -3.642065152999546
10 0 1 0 0 1 0 0 -3.642065152999546
11 0 1 0 0 1 0 0 -3.642065152999546
12 0 1 0 0 1 0 0 -3.642065152999546
13 0 1 0 0 1 0 0 -3.642065152999546
14 0 1 0 0 1 0 0 -3.642065152999546
15 0 1 0 0 1 0 0 -3.642065152999546
16 0 1 0 0 0 0 1 -4.0
17 0 0 1 1 0 0 0 -3.0
18 0 0 1 0 0 1 0 -1.978810700930062
