id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 1 0 0 0 0 0 1 0.2013971243204515
1 1 0 0 1 0 0 0 -0.4329736338409397
2 1 0 0 0 0 0 1 -2.795880017344075
3 0 0 1 0 0 1 0 -0.5228787452803376
4 0 0 1 0 0 1 0 0.7752462597402363
5 1 0 0 1 0 0 0 -2.0
6 1 0 0 0 0 0 1 -3.2218487496163566
7 1 0 0 0 0 0 1 -3.6989700043360187
8 1 0 0 0 0 1 0 -3.3010299956639813
9 0 0 1 0 0 1 0 -2.0
10 0 1 0 1 0 0 0 -3.6420651529995465
11 1 0 0 0 0 0 1 -2.0
12 1 0 0 0 0 0 1 -2.0
13 1 0 0 0 0 1 0 -3.6989700043360187
14 0 0 1 0 0 1 0 -0.4202164033831899
15 1 0 0 0 0 1 0 -3.0
16 1 0 0 0 0 1 0 -0.6020599913279624
17 1 0 0 0 0 0 1 1.3186892699477457
18 1 0 0 0 0 0 1 -0.3979400086720376
19 0 1 0 1 0 0 0 -3.6420651529995465
20 0 1 0 1 0 0 0 -3.6420651529995465
21 0 1 0 1 0 0 0 -3.6420651529995465
22 0 1 0 1 0 0 0 -3.6420651529995465
23 0 1 0 1 0 0 0 -3.6420651529995465
24 0 1 0 1 0 0 0 -3.6420651529995465
25 0 1 0 1 0 0 0 -3.6420651529995465
26 0 1 0 0 1 0 0 -4.0
27 1 0 0 0 0 1 0 -3.0
28 1 0 0 0 0 0 1 -2.0
29 1 0 0 0 0 0 1 0.8750612633917001
30 0 1 0 1 0 0 0 -3.6420651529995465
